gameid,home,team,SEC,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,AST,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,FGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct
22200262,True,IND,14400,18.43,31,28,58,455,1,3,329,25,13,34,0.382,24,62,0.387,0.385,33,43,0.767
22200262,False,MIN,14400,17.95,16,74,89,400,3,3,279,31,23,35,0.657,24,42,0.571,0.61,15,27,0.556
22200263,True,ATL,14400,18.14,21,62,79,375,4,2,246,23,14,40,0.35,27,52,0.519,0.446,20,34,0.588
22200263,False,SAC,14400,18.59,24,59,80,403,2,3,279,27,14,37,0.378,27,52,0.519,0.461,7,20,0.35
22200264,True,BOS,14400,16.59,16,48,61,352,6,0,243,29,15,34,0.441,30,50,0.6,0.536,17,25,0.68
22200264,False,DAL,14400,16.9,18,44,61,365,1,3,251,20,18,30,0.6,26,52,0.5,0.537,21,32,0.656
22200265,True,MIA,14400,17.71,48,57,99,432,2,0,308,20,15,40,0.375,24,53,0.453,0.419,18,26,0.692
22200265,False,WAS,14400,17.71,24,58,80,452,7,3,336,27,23,45,0.511,19,44,0.432,0.472,15,27,0.556
22200266,True,TOR,14400,17.73,41,35,75,438,2,0,304,16,21,55,0.382,15,46,0.326,0.356,21,26,0.808
22200266,False,BKN,14400,17.19,14,68,78,391,7,1,278,32,18,29,0.621,27,53,0.509,0.549,19,38,0.5
22200267,True,MIL,14400,17.91,40,62,100,394,0,1,268,24,11,28,0.393,30,62,0.484,0.456,13,16,0.813
22200267,False,CHI,14400,18.04,18,62,76,417,3,1,301,30,12,26,0.462,31,61,0.508,0.494,17,29,0.586
22200268,True,OKC,15900,19.63,32,52,81,457,4,2,321,26,7,28,0.25,35,69,0.507,0.433,18,30,0.6
22200268,False,DEN,15900,18.72,30,71,99,532,2,5,396,31,25,45,0.556,17,43,0.395,0.477,11,28,0.393
22200269,True,SAS,14400,19.09,25,47,67,412,3,6,291,31,18,29,0.621,23,56,0.411,0.482,22,31,0.71
22200269,False,NOP,14400,18.45,22,55,70,455,8,2,329,33,24,36,0.667,23,46,0.5,0.573,15,18,0.833
22200270,True,UTA,14400,17.58,14,59,72,363,3,2,250,31,15,29,0.517,26,54,0.481,0.494,16,32,0.5
22200270,False,DET,14400,17.57,29,52,80,366,0,2,247,24,20,41,0.488,24,48,0.5,0.494,16,23,0.696
22200271,True,GSW,14400,18.13,28,50,76,453,5,5,328,36,19,30,0.633,29,67,0.433,0.495,19,26,0.731
22200271,False,LAC,14400,18.09,21,51,70,417,3,1,289,22,19,41,0.463,20,45,0.444,0.453,21,29,0.724
22200272,True,CHA,14400,19.14,27,68,94,426,2,1,293,24,16,38,0.421,24,51,0.471,0.449,20,34,0.588
22200272,False,MIN,14400,18.33,23,55,76,431,3,3,304,24,18,40,0.45,23,56,0.411,0.427,21,31,0.677
22200273,True,ORL,14400,17.53,21,45,64,401,2,1,284,20,17,33,0.515,17,47,0.362,0.425,13,24,0.542
22200273,False,PHI,14400,17.34,24,55,78,424,1,1,307,25,10,25,0.4,29,57,0.509,0.476,15,21,0.714
22200274,True,NYK,15900,19.62,28,47,69,452,4,0,318,27,24,41,0.585,22,64,0.344,0.438,18,24,0.75
22200274,False,POR,15900,19.0,26,69,94,449,3,5,317,24,22,36,0.611,20,49,0.408,0.494,24,37,0.649
22200275,True,BOS,14400,17.76,18,57,73,372,5,0,261,27,15,31,0.484,26,52,0.5,0.494,19,30,0.633
22200275,False,SAC,14400,18.73,31,51,81,450,6,3,330,20,17,35,0.486,19,52,0.365,0.414,14,21,0.667
22200276,True,IND,14400,18.11,20,48,67,405,0,6,280,28,24,43,0.558,19,43,0.442,0.5,16,18,0.889
22200276,False,BKN,14400,17.58,11,51,59,417,4,0,301,27,18,28,0.643,29,60,0.483,0.534,23,32,0.719
22200277,True,MIA,14400,17.97,23,63,84,399,1,3,278,24,26,50,0.52,16,39,0.41,0.472,17,21,0.81
22200277,False,WAS,14400,18.06,27,50,76,455,6,1,331,27,18,37,0.486,22,56,0.393,0.43,21,33,0.636
22200278,True,HOU,14400,17.92,37,56,89,422,1,5,285,25,21,34,0.618,20,53,0.377,0.471,15,20,0.75
22200278,False,ATL,14400,17.77,21,43,60,362,0,1,242,14,10,22,0.455,29,59,0.492,0.476,23,37,0.622
22200279,True,MEM,14400,18.22,30,56,84,434,3,0,309,26,20,34,0.588,27,57,0.474,0.516,21,36,0.583
22200279,False,NOP,14400,17.9,24,58,79,418,1,5,297,26,20,40,0.5,17,46,0.37,0.43,18,25,0.72
22200280,True,MIL,14400,18.03,17,60,76,365,2,3,251,27,16,27,0.593,26,56,0.464,0.506,14,25,0.56
22200280,False,CLE,14400,17.89,34,56,87,376,3,4,259,12,15,38,0.395,19,49,0.388,0.391,17,22,0.773
22200281,True,OKC,15900,19.98,27,70,96,392,3,2,260,24,25,47,0.532,19,48,0.396,0.463,15,26,0.577
22200281,False,CHI,15900,19.61,28,60,87,498,4,1,362,25,24,48,0.5,20,53,0.377,0.436,27,40,0.675
22200282,True,SAS,14400,18.85,34,44,76,401,3,1,273,21,20,41,0.488,18,59,0.305,0.38,22,28,0.786
22200282,False,LAL,14400,17.58,26,66,89,392,2,4,269,28,20,32,0.625,20,51,0.392,0.482,20,34,0.588
22200283,True,PHX,14400,17.69,25,49,73,372,1,4,253,25,24,37,0.649,18,50,0.36,0.483,14,22,0.636
22200283,False,DET,14400,17.96,27,51,75,373,3,2,246,21,14,38,0.368,25,54,0.463,0.424,19,26,0.731
22200284,True,GSW,14400,17.79,23,56,78,480,7,0,343,33,24,45,0.533,28,56,0.5,0.515,20,27,0.741
22200284,False,UTA,14400,18.44,28,46,74,388,4,2,258,28,24,41,0.585,22,56,0.393,0.474,21,34,0.618
22200285,True,LAC,14400,17.23,10,52,59,415,2,5,310,22,19,31,0.613,18,37,0.486,0.544,18,26,0.692
22200285,False,DEN,14400,17.33,26,33,55,408,5,2,292,27,18,38,0.474,26,51,0.51,0.494,10,14,0.714
22200286,True,TOR,14400,18.09,38,50,86,409,3,4,287,20,23,44,0.523,15,44,0.341,0.432,19,22,0.864
22200286,False,DAL,14400,17.27,17,55,69,426,8,3,310,28,12,18,0.667,23,55,0.418,0.479,17,25,0.68
22200287,True,HOU,14400,17.41,21,57,77,424,0,1,298,25,18,38,0.474,27,48,0.563,0.523,22,34,0.647
22200287,False,OKC,14400,18.58,33,45,77,406,0,2,277,19,26,40,0.65,12,57,0.211,0.392,19,32,0.594
22200288,True,SAS,14400,19.08,36,36,70,408,4,1,275,33,26,51,0.51,26,53,0.491,0.505,16,25,0.64
22200288,False,LAL,14400,18.18,12,51,60,386,6,2,260,25,17,27,0.63,30,54,0.556,0.58,24,38,0.632
22200289,True,PHX,14400,17.29,27,49,73,352,1,2,236,23,20,43,0.465,22,49,0.449,0.457,16,23,0.696
22200289,False,UTA,14400,17.41,19,50,66,367,3,3,256,20,20,36,0.556,20,43,0.465,0.506,19,32,0.594
22200290,True,BKN,14400,16.36,11,58,65,373,9,3,270,27,16,26,0.615,25,52,0.481,0.526,15,23,0.652
22200290,False,POR,14400,16.76,27,43,69,422,3,1,298,27,16,33,0.485,19,46,0.413,0.443,7,10,0.7
22200291,True,MIN,14400,18.1,15,37,51,453,2,1,323,22,19,39,0.487,20,49,0.408,0.443,20,22,0.909
22200291,False,GSW,14400,17.74,16,57,70,440,10,1,320,36,12,21,0.571,38,66,0.576,0.575,13,22,0.591
22200292,True,LAC,14400,17.86,28,69,96,458,2,1,318,33,24,52,0.462,18,42,0.429,0.447,16,30,0.533
22200292,False,IND,14400,19.08,27,52,77,407,1,6,286,23,15,38,0.395,21,56,0.375,0.383,28,44,0.636
22200293,True,ATL,14400,17.31,27,52,78,432,2,1,313,24,12,33,0.364,23,55,0.418,0.398,19,25,0.76
22200293,False,MIA,14400,17.71,14,79,91,410,3,2,300,28,23,35,0.657,17,47,0.362,0.488,11,18,0.611
22200294,True,BOS,14400,17.45,17,43,59,379,1,4,267,25,24,34,0.706,20,46,0.435,0.55,20,25,0.8
22200294,False,WAS,14400,18.1,16,39,54,381,1,3,276,23,24,35,0.686,20,47,0.426,0.537,18,25,0.72
22200295,True,DET,14400,17.63,17,50,65,348,2,1,239,14,18,33,0.545,18,46,0.391,0.456,17,22,0.773
22200295,False,CLE,14400,17.08,22,54,72,361,2,2,244,14,17,34,0.5,16,43,0.372,0.429,16,21,0.762
22200296,True,NYK,14400,18.29,23,50,69,425,3,3,302,30,21,38,0.553,23,49,0.469,0.506,27,36,0.75
22200296,False,MEM,14400,18.4,31,50,78,418,2,1,288,32,24,45,0.533,22,50,0.44,0.484,20,31,0.645
22200297,True,ORL,14400,18.17,15,35,48,390,3,2,278,21,15,27,0.556,21,52,0.404,0.456,28,33,0.848
22200297,False,PHI,14400,17.8,20,52,68,419,4,4,306,32,27,36,0.75,23,41,0.561,0.649,12,18,0.667
22200298,True,MIL,14400,17.72,24,48,70,374,4,1,256,28,26,38,0.684,22,47,0.468,0.558,13,19,0.684
22200298,False,DAL,14400,17.16,13,50,60,363,4,4,248,23,16,31,0.516,25,49,0.51,0.513,17,22,0.773
22200299,True,PHI,14400,17.29,23,46,67,411,3,1,297,23,23,41,0.561,16,45,0.356,0.453,11,17,0.647
22200299,False,ATL,14400,17.25,17,58,75,386,4,4,267,26,16,33,0.485,21,41,0.512,0.5,17,27,0.63
22200300,True,WAS,14400,18.56,18,40,56,443,2,2,322,31,19,35,0.543,33,56,0.589,0.571,28,36,0.778
22200300,False,MIN,14400,18.53,25,49,72,403,1,5,278,20,25,35,0.714,17,49,0.347,0.5,21,26,0.808
22200301,True,BOS,14400,17.55,22,47,67,406,7,0,290,40,20,31,0.645,35,62,0.565,0.591,22,36,0.611
22200301,False,CHA,14400,18.61,30,47,77,429,2,2,305,28,19,42,0.452,23,44,0.523,0.488,21,25,0.84
22200302,True,BKN,14400,16.42,17,53,65,383,2,3,269,20,20,32,0.625,24,49,0.49,0.543,17,27,0.63
22200302,False,ORL,14400,17.2,24,41,63,346,0,0,235,18,14,31,0.452,24,49,0.49,0.475,16,23,0.696
22200303,True,TOR,14400,17.74,23,55,77,389,2,3,279,23,18,41,0.439,19,43,0.442,0.44,20,28,0.714
22200303,False,CLE,14400,17.49,29,59,87,383,2,2,263,21,20,36,0.556,14,54,0.259,0.378,14,23,0.609
22200304,True,NOP,14400,17.95,28,64,92,483,5,1,351,21,26,46,0.565,13,41,0.317,0.448,14,25,0.56
22200304,False,OKC,14400,18.39,38,52,89,388,1,2,262,16,11,31,0.355,23,60,0.383,0.37,24,38,0.632
22200305,True,DEN,14400,16.9,25,60,81,427,5,1,306,31,22,36,0.611,28,52,0.538,0.568,14,20,0.7
22200305,False,HOU,14400,16.4,29,35,61,419,4,3,300,25,18,32,0.563,21,53,0.396,0.459,26,37,0.703
22200306,True,UTA,14400,17.62,24,61,83,405,3,4,286,30,17,29,0.586,24,56,0.429,0.482,24,35,0.686
22200306,False,CHI,14400,17.47,26,60,83,381,6,1,262,21,18,42,0.429,25,51,0.49,0.462,17,20,0.85
22200307,True,SAC,14400,18.65,23,56,78,429,6,2,306,32,20,36,0.556,26,52,0.5,0.523,15,26,0.577
22200307,False,PHX,14400,18.62,28,51,77,389,6,3,266,26,26,45,0.578,24,49,0.49,0.532,28,36,0.778
22200308,True,LAL,14400,17.93,34,75,108,402,2,3,270,23,17,39,0.436,23,54,0.426,0.43,15,28,0.536
22200308,False,IND,14400,18.94,40,63,100,450,4,3,319,29,13,36,0.361,30,69,0.435,0.41,17,31,0.548
22200309,True,DET,14400,18.03,18,48,64,402,2,2,285,28,19,27,0.704,23,56,0.411,0.506,24,32,0.75
22200309,False,NYK,14400,18.02,32,47,75,397,3,3,273,31,27,42,0.643,27,54,0.5,0.563,15,19,0.789
22200310,True,DAL,14400,18.05,20,51,70,410,3,0,284,21,18,31,0.581,24,60,0.4,0.462,26,32,0.813
22200310,False,GSW,14400,17.93,25,71,90,418,3,0,297,27,21,32,0.656,21,56,0.375,0.477,11,15,0.733
22200311,True,POR,14400,17.46,31,60,87,399,5,3,279,24,17,41,0.415,25,49,0.51,0.467,19,30,0.633
22200311,False,LAC,14400,17.24,29,56,83,393,5,1,274,26,25,48,0.521,16,41,0.39,0.461,14,26,0.538
22200312,True,CLE,14400,17.2,8,53,59,368,4,1,257,28,22,29,0.759,23,45,0.511,0.608,18,28,0.643
22200312,False,PHI,14400,17.37,17,30,47,413,2,1,301,19,15,29,0.517,17,48,0.354,0.416,26,32,0.813
22200313,True,ORL,14400,18.31,15,40,54,379,2,2,263,26,23,39,0.59,16,40,0.4,0.494,22,27,0.815
22200313,False,ATL,14400,17.82,25,45,67,385,3,3,254,25,18,31,0.581,33,63,0.524,0.543,21,31,0.677
22200314,True,BOS,14400,16.72,18,53,71,464,7,1,347,32,17,29,0.586,29,54,0.537,0.554,16,23,0.696
22200314,False,MIA,14400,17.67,21,44,64,389,4,0,264,25,18,29,0.621,29,61,0.475,0.522,15,22,0.682
22200315,True,BKN,14400,17.81,15,56,68,408,3,1,296,22,14,32,0.438,25,52,0.481,0.464,21,36,0.583
22200315,False,WAS,14400,18.05,26,51,77,380,1,5,251,19,18,40,0.45,21,49,0.429,0.438,9,19,0.474
22200316,True,NYK,14400,18.1,35,55,87,396,0,1,271,18,22,46,0.478,20,54,0.37,0.42,17,25,0.68
22200316,False,MIL,14400,17.89,29,61,87,378,3,3,260,23,23,40,0.575,16,50,0.32,0.433,21,31,0.677
22200317,True,MIN,14400,17.97,19,66,82,422,5,5,305,26,24,41,0.585,17,48,0.354,0.461,19,34,0.559
22200317,False,MEM,14400,18.11,48,62,107,398,4,2,266,17,15,42,0.357,22,45,0.489,0.425,23,31,0.742
22200318,True,NOP,14400,18.28,27,58,82,457,3,2,329,28,19,35,0.543,26,51,0.51,0.523,18,23,0.783
22200318,False,TOR,14400,18.37,14,52,63,419,4,2,301,29,17,24,0.708,25,64,0.391,0.477,24,35,0.686
22200319,True,OKC,14400,18.98,32,59,86,412,2,3,285,17,21,40,0.525,27,53,0.509,0.511,19,29,0.655
22200319,False,SAS,14400,18.97,25,54,76,451,3,4,323,27,24,45,0.533,17,47,0.362,0.446,23,40,0.575
22200320,True,DEN,14400,16.75,16,68,83,396,7,1,287,30,17,27,0.63,27,56,0.482,0.53,18,28,0.643
22200320,False,HOU,14400,16.86,36,49,83,443,2,2,319,18,17,32,0.531,20,56,0.357,0.42,21,29,0.724
22200321,True,PHX,14400,18.38,26,47,69,415,2,3,293,22,21,37,0.568,28,56,0.5,0.527,21,29,0.724
22200321,False,CHI,14400,18.09,17,50,66,386,1,1,271,21,21,34,0.618,20,48,0.417,0.5,14,19,0.737
22200322,True,UTA,14400,17.46,27,65,90,369,2,4,246,24,21,35,0.6,24,47,0.511,0.556,15,33,0.455
22200322,False,LAC,14400,17.24,37,44,77,401,5,2,278,16,21,50,0.42,16,43,0.372,0.398,20,32,0.625
22200323,True,SAC,14400,19.64,23,67,86,418,5,3,284,28,21,32,0.656,27,63,0.429,0.505,25,45,0.556
22200323,False,IND,14400,19.85,32,53,84,436,4,2,303,28,23,56,0.411,17,44,0.386,0.4,21,28,0.75
22200324,True,LAL,14400,17.25,29,60,86,389,5,3,269,28,16,30,0.533,32,67,0.478,0.495,22,39,0.564
22200324,False,POR,14400,17.18,25,50,72,394,2,2,273,21,30,52,0.577,12,38,0.316,0.467,22,33,0.667
22200325,True,DET,15900,19.46,33,54,81,429,3,2,298,29,18,37,0.486,33,57,0.579,0.543,20,24,0.833
22200325,False,DAL,15900,18.72,12,43,51,405,0,1,282,25,15,19,0.789,31,67,0.463,0.535,19,31,0.613
22200326,True,CHA,14400,18.42,42,50,89,412,4,4,290,25,24,57,0.421,16,38,0.421,0.421,18,28,0.643
22200326,False,WAS,14400,17.94,30,60,86,398,2,8,274,23,20,35,0.571,19,51,0.373,0.453,20,35,0.571
22200327,True,ATL,14400,17.6,24,48,68,373,3,2,258,24,19,38,0.5,30,50,0.6,0.557,19,24,0.792
22200327,False,DEN,14400,16.97,17,43,58,449,1,2,333,31,20,34,0.588,25,51,0.49,0.529,17,24,0.708
22200328,True,BOS,15900,18.85,20,59,74,395,2,0,270,26,16,33,0.485,24,54,0.444,0.46,18,28,0.643
22200328,False,MIA,15900,19.89,23,61,81,444,2,1,312,19,22,45,0.489,26,56,0.464,0.475,18,24,0.75
22200329,True,BKN,14400,17.88,17,57,70,458,8,2,339,27,18,30,0.6,26,52,0.5,0.537,18,33,0.545
22200329,False,TOR,14400,18.33,37,49,82,376,0,3,252,16,21,44,0.477,17,43,0.395,0.437,16,22,0.727
22200330,True,CLE,14400,17.16,22,44,65,367,4,0,262,22,21,34,0.618,20,50,0.4,0.488,20,31,0.645
22200330,False,ORL,14400,18.01,21,53,73,378,2,1,262,19,19,40,0.475,21,41,0.512,0.494,17,25,0.68
22200331,True,MIL,14400,17.86,19,48,65,388,5,2,264,29,19,31,0.613,31,63,0.492,0.532,25,37,0.676
22200331,False,LAL,14400,17.31,23,46,66,412,2,1,285,32,22,38,0.579,30,59,0.508,0.542,18,27,0.667
22200332,True,MEM,14400,17.94,37,53,90,395,2,2,263,22,19,44,0.432,23,53,0.434,0.433,17,29,0.586
22200332,False,PHI,14400,17.57,23,62,81,364,3,3,248,23,16,31,0.516,24,60,0.4,0.44,21,35,0.6
22200333,True,SAS,14400,18.9,26,69,95,422,4,2,294,26,15,39,0.385,23,59,0.39,0.388,20,29,0.69
22200333,False,NOP,14400,18.38,26,74,97,405,3,3,285,25,19,34,0.559,21,58,0.362,0.435,17,25,0.68
22200334,True,PHX,14400,18.01,25,51,72,418,1,4,297,30,18,31,0.581,27,54,0.5,0.529,24,36,0.667
22200334,False,HOU,14400,17.59,27,45,70,375,0,2,253,19,27,45,0.6,13,36,0.361,0.494,15,16,0.938
22200335,True,UTA,14400,19.17,24,63,83,431,5,2,288,29,18,34,0.529,28,49,0.571,0.554,20,36,0.556
22200335,False,IND,14400,19.57,31,50,77,463,2,5,325,25,18,44,0.409,22,48,0.458,0.435,21,27,0.778
22200336,True,GSW,14400,18.33,21,65,80,537,4,3,403,32,15,28,0.536,27,59,0.458,0.483,21,36,0.583
22200336,False,CHI,14400,18.81,22,60,78,437,7,5,312,28,22,43,0.512,22,51,0.431,0.462,17,20,0.85
22200337,True,NYK,14400,18.13,23,66,87,353,3,1,240,18,11,26,0.423,24,51,0.471,0.455,16,21,0.762
22200337,False,DAL,14400,17.96,31,56,82,405,4,2,278,27,12,25,0.48,31,75,0.413,0.43,13,19,0.684
22200338,True,LAC,14400,18.03,40,52,86,438,2,2,309,15,20,50,0.4,13,43,0.302,0.355,19,28,0.679
22200338,False,SAC,14400,18.5,16,66,80,392,3,3,276,31,24,37,0.649,22,52,0.423,0.517,17,37,0.459
22200339,True,CHA,14400,18.23,29,55,82,378,2,4,261,15,19,46,0.413,15,41,0.366,0.391,16,26,0.615
22200339,False,MIL,14400,18.04,20,62,81,423,5,3,296,24,17,29,0.586,22,54,0.407,0.47,14,25,0.56
22200340,True,TOR,14400,17.97,23,42,64,436,5,3,317,31,26,37,0.703,21,47,0.447,0.56,15,27,0.556
22200340,False,ORL,14400,18.31,15,44,56,368,1,5,249,23,18,34,0.529,20,44,0.455,0.487,25,35,0.714
22200341,True,MIN,14400,19.13,22,53,71,462,5,2,326,25,25,42,0.595,22,47,0.468,0.528,25,41,0.61
22200341,False,OKC,14400,19.53,28,47,72,431,3,2,296,26,23,44,0.523,25,49,0.51,0.516,26,38,0.684
22200342,True,GSW,14400,16.91,19,56,73,440,6,2,328,34,13,24,0.542,32,61,0.525,0.529,27,38,0.711
22200342,False,HOU,14400,17.38,30,53,81,427,4,1,298,17,20,43,0.465,20,48,0.417,0.44,13,21,0.619
22200343,True,UTA,14400,17.23,27,55,76,379,3,2,261,20,18,37,0.486,20,47,0.426,0.452,16,32,0.5
22200343,False,POR,14400,17.0,25,52,75,373,4,2,257,19,21,42,0.5,20,43,0.465,0.482,16,23,0.696
22200344,True,NOP,14400,18.37,17,53,67,430,6,9,313,29,18,28,0.643,23,53,0.434,0.506,23,30,0.767
22200344,False,DEN,14400,17.87,23,48,65,420,2,5,301,24,22,32,0.688,19,49,0.388,0.506,20,25,0.8
22200345,True,SAS,14400,18.32,22,47,68,375,3,2,256,19,21,36,0.583,17,51,0.333,0.437,20,29,0.69
22200345,False,PHX,14400,18.36,28,53,79,464,9,4,336,38,17,32,0.531,31,61,0.508,0.521,15,22,0.682
22200346,True,BKN,14400,17.36,23,55,76,369,2,4,255,17,15,38,0.395,19,46,0.413,0.405,16,29,0.552
22200346,False,BOS,14400,17.19,21,64,82,347,3,0,228,18,13,29,0.448,22,52,0.423,0.432,10,24,0.417
22200347,True,DET,14400,18.43,27,58,83,389,3,3,268,26,14,31,0.452,23,53,0.434,0.44,20,34,0.588
22200347,False,MEM,14400,18.5,25,57,79,407,5,1,281,28,17,38,0.447,26,54,0.481,0.467,14,21,0.667
22200348,True,NYK,14400,17.81,31,60,90,395,2,4,272,17,19,37,0.514,16,49,0.327,0.407,15,23,0.652
22200348,False,CLE,14400,17.34,18,63,80,363,3,1,248,17,12,34,0.353,17,49,0.347,0.349,17,29,0.586
22200349,True,WAS,14400,18.51,24,48,71,454,3,2,313,24,25,41,0.61,24,63,0.381,0.467,27,38,0.711
22200349,False,LAL,14400,17.34,21,62,78,379,1,4,235,34,25,46,0.543,28,51,0.549,0.542,19,30,0.633
22200350,True,SAC,14400,18.37,26,62,86,447,2,1,325,30,21,33,0.636,20,54,0.37,0.465,18,26,0.692
22200350,False,CHI,14400,18.23,14,57,70,411,1,3,295,17,14,31,0.452,24,55,0.436,0.442,18,27,0.667
22200351,True,POR,14400,17.1,25,53,78,457,7,3,333,32,17,30,0.567,25,55,0.455,0.488,25,36,0.694
22200351,False,IND,14400,18.02,23,54,74,450,7,3,329,22,16,36,0.444,24,55,0.436,0.44,17,23,0.739
22200352,True,CHA,14400,18.25,34,58,89,412,5,4,286,29,28,47,0.596,19,51,0.373,0.48,14,28,0.5
22200352,False,LAC,14400,17.31,25,62,83,392,6,2,274,30,17,36,0.472,28,57,0.491,0.484,17,24,0.708
22200353,True,ORL,14400,18.57,34,62,92,412,1,5,290,21,15,40,0.375,19,53,0.358,0.366,12,18,0.667
22200353,False,MIL,14400,17.91,19,72,89,405,6,1,282,31,13,22,0.591,25,63,0.397,0.447,17,32,0.531
22200354,True,ATL,14400,18.54,39,55,94,409,7,1,272,24,19,41,0.463,25,61,0.41,0.431,22,41,0.537
22200354,False,OKC,14400,19.08,23,73,95,420,4,0,285,25,22,45,0.489,21,50,0.42,0.453,20,31,0.645
22200355,True,TOR,14400,17.59,28,56,81,388,3,3,269,19,15,33,0.455,24,52,0.462,0.459,22,31,0.71
22200355,False,BOS,14400,16.94,27,61,83,387,7,1,269,27,20,37,0.541,24,53,0.453,0.489,12,16,0.75
22200356,True,HOU,17400,20.19,45,56,96,491,3,6,336,19,21,41,0.512,21,53,0.396,0.447,14,23,0.609
22200356,False,PHI,17400,20.06,26,59,83,453,3,5,317,23,16,38,0.421,23,49,0.469,0.448,20,30,0.667
22200357,True,MEM,14400,18.19,22,59,79,399,0,0,284,23,24,38,0.632,18,52,0.346,0.467,9,16,0.563
22200357,False,MIA,14400,17.78,22,62,84,416,3,3,301,23,10,28,0.357,21,51,0.412,0.392,16,19,0.842
22200358,True,DAL,14400,17.52,23,60,81,353,1,1,240,23,9,24,0.375,35,60,0.583,0.524,20,31,0.645
22200358,False,PHX,14400,17.67,27,47,73,392,1,4,270,28,16,36,0.444,24,55,0.436,0.44,12,20,0.6
22200359,True,GSW,14400,17.82,33,61,88,428,3,4,305,26,23,47,0.489,15,47,0.319,0.404,20,33,0.606
22200359,False,IND,14400,18.35,29,68,95,432,3,4,310,26,20,38,0.526,23,52,0.442,0.478,22,37,0.595
22200360,True,CLE,14400,17.22,26,55,79,348,1,3,232,25,21,38,0.553,27,55,0.491,0.516,22,25,0.88
22200360,False,LAL,14400,16.79,28,51,79,356,1,1,235,16,20,32,0.625,18,56,0.321,0.427,23,28,0.821
22200361,True,MIA,14400,17.54,16,53,67,394,0,3,280,21,16,31,0.516,17,46,0.37,0.429,11,22,0.5
22200361,False,DET,14400,17.98,19,57,74,419,3,0,302,27,17,33,0.515,26,54,0.481,0.494,11,16,0.688
22200362,True,DEN,14400,17.08,13,47,59,423,7,1,303,30,15,33,0.455,25,45,0.556,0.513,14,18,0.778
22200362,False,DAL,14400,16.98,17,45,57,394,4,3,274,27,16,27,0.593,20,44,0.455,0.5,18,26,0.692
22200363,True,ORL,15900,19.7,36,65,96,399,0,6,267,20,23,49,0.469,17,46,0.37,0.421,19,27,0.704
22200363,False,LAC,15900,18.92,36,74,108,472,6,2,340,26,19,36,0.528,20,59,0.339,0.411,18,32,0.563
22200364,True,BKN,14400,17.06,14,57,66,420,7,1,308,33,23,36,0.639,26,50,0.52,0.57,24,36,0.667
22200364,False,CHA,14400,17.96,27,43,68,370,2,4,259,25,28,52,0.538,19,36,0.528,0.534,15,20,0.75
22200365,True,NYK,14400,17.91,32,62,89,367,1,0,250,26,11,27,0.407,26,56,0.464,0.446,17,22,0.773
22200365,False,ATL,14400,17.65,21,49,68,388,1,3,270,16,15,27,0.556,17,58,0.293,0.376,11,15,0.733
22200366,True,TOR,14400,18.57,42,58,99,444,1,4,312,25,17,35,0.486,30,71,0.423,0.443,21,31,0.677
22200366,False,LAL,14400,18.28,25,77,99,377,2,4,252,16,19,33,0.576,18,54,0.333,0.425,17,30,0.567
22200367,True,CHI,14400,18.09,18,55,71,406,4,1,285,29,23,44,0.523,22,46,0.478,0.5,18,26,0.692
22200367,False,WAS,14400,18.47,11,58,67,414,0,6,291,22,16,32,0.5,25,52,0.481,0.488,19,36,0.528
22200368,True,MEM,14400,18.16,25,64,85,399,0,1,274,32,22,35,0.629,26,59,0.441,0.511,13,26,0.5
22200368,False,OKC,14400,18.57,31,51,81,427,5,1,297,25,9,34,0.265,25,58,0.431,0.37,24,30,0.8
22200369,True,MIL,14400,17.82,32,57,87,399,5,1,275,34,24,40,0.6,22,56,0.393,0.479,15,22,0.682
22200369,False,SAC,14400,18.28,19,58,75,396,0,0,284,19,16,26,0.615,27,65,0.415,0.473,18,28,0.643
22200370,True,MIN,14400,18.78,29,50,77,448,2,3,316,25,25,49,0.51,19,44,0.432,0.473,12,18,0.667
22200370,False,IND,14400,18.98,16,55,71,411,0,3,293,22,13,22,0.591,26,59,0.441,0.481,25,42,0.595
22200371,True,NOP,14400,17.52,25,64,87,394,1,1,272,21,22,37,0.595,17,48,0.354,0.459,11,18,0.611
22200371,False,DET,14400,17.56,29,52,78,379,0,1,259,17,5,23,0.217,30,67,0.448,0.389,23,35,0.657
22200372,True,UTA,14400,18.35,17,59,75,415,2,1,295,26,21,34,0.618,25,52,0.481,0.535,24,42,0.571
22200372,False,GSW,14400,17.72,24,48,71,403,4,5,276,26,22,45,0.489,23,53,0.434,0.459,22,30,0.733
22200373,True,PHX,14400,18.13,28,60,86,370,4,2,245,19,18,38,0.474,19,55,0.345,0.398,18,30,0.6
22200373,False,BOS,14400,17.78,23,68,90,382,3,1,252,29,23,42,0.548,26,59,0.441,0.485,13,20,0.65
22200374,True,MIA,14400,18.16,15,59,73,372,0,1,258,24,14,29,0.483,32,61,0.525,0.511,13,22,0.591
22200374,False,LAC,14400,17.13,21,55,74,347,2,1,234,24,14,35,0.4,22,43,0.512,0.463,17,20,0.85
22200375,True,SAS,14400,18.04,23,57,77,389,2,2,272,25,18,27,0.667,28,56,0.5,0.554,22,37,0.595
