gameid,home,team,SEC,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,AST,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,FGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct
22200165,False,HOU,14400,17.0,30,73,100,424,5,7,297,29,17,37,0.459,20,47,0.426,0.44,19,33,0.576
22200166,True,CHI,14400,18.03,17,48,63,417,5,2,301,23,16,31,0.516,28,56,0.5,0.506,21,30,0.7
22200166,False,NOP,14400,18.3,24,59,80,443,1,3,318,20,25,41,0.61,17,43,0.395,0.5,19,25,0.76
22200167,True,MIN,14400,18.37,15,61,75,411,0,3,294,26,21,33,0.636,20,45,0.444,0.526,14,19,0.737
22200167,False,PHX,14400,18.48,22,47,68,434,5,4,308,31,18,31,0.581,29,66,0.439,0.485,26,35,0.743
22200168,True,OKC,17400,21.81,29,74,102,441,1,0,293,24,18,39,0.462,32,72,0.444,0.45,19,28,0.679
22200168,False,MIL,17400,21.52,29,77,104,528,3,2,370,27,21,39,0.538,29,67,0.433,0.472,15,28,0.536
22200169,True,SAS,15900,20.15,24,49,72,420,3,2,288,30,29,48,0.604,18,50,0.36,0.48,18,25,0.72
22200169,False,MEM,15900,19.75,29,62,89,433,3,2,302,24,27,46,0.587,23,51,0.451,0.51,23,29,0.793
22200170,True,LAC,14400,17.13,15,53,66,376,3,3,259,24,15,29,0.517,26,51,0.51,0.506,20,29,0.69
22200170,False,LAL,14400,17.16,20,50,67,369,1,3,245,26,19,37,0.514,21,51,0.412,0.455,11,15,0.733
22200171,True,SAC,14400,18.52,10,41,50,397,3,3,288,30,12,23,0.522,28,53,0.528,0.526,26,37,0.703
22200171,False,CLE,14400,17.98,23,43,65,380,3,4,258,24,28,48,0.583,18,38,0.474,0.535,16,19,0.842
22200172,True,WAS,14400,17.81,22,62,79,368,3,2,252,25,16,33,0.485,25,51,0.49,0.488,13,25,0.52
22200172,False,DAL,14400,17.17,22,50,71,396,6,4,275,19,11,28,0.393,26,58,0.448,0.43,14,25,0.56
22200173,True,ATL,14400,18.06,23,59,80,371,0,2,246,19,20,45,0.444,19,43,0.442,0.443,14,22,0.636
22200173,False,PHI,14400,18.1,21,60,79,401,1,3,278,15,15,31,0.484,17,52,0.327,0.386,17,26,0.654
22200174,True,MIA,15900,19.25,20,52,67,481,0,6,353,21,13,28,0.464,26,62,0.419,0.433,16,20,0.8
22200174,False,CHA,15900,19.72,23,61,81,453,1,4,324,23,21,39,0.538,22,49,0.449,0.489,13,23,0.565
22200175,True,NOP,14400,17.07,21,50,70,390,3,5,282,19,15,33,0.455,18,46,0.391,0.418,15,22,0.682
22200175,False,POR,14400,17.0,21,56,73,437,6,3,317,25,16,29,0.552,21,56,0.375,0.435,14,21,0.667
22200176,True,BOS,14400,16.73,20,55,72,380,2,1,270,30,16,26,0.615,34,64,0.531,0.556,18,32,0.563
22200176,False,DEN,14400,17.07,28,41,68,386,1,2,267,26,19,46,0.413,23,46,0.5,0.457,17,24,0.708
22200177,True,ORL,14400,17.79,19,63,81,398,2,1,283,23,18,31,0.581,25,51,0.49,0.524,13,23,0.565
22200177,False,PHX,14400,17.33,27,47,73,387,2,2,269,22,14,31,0.452,24,64,0.375,0.4,13,18,0.722
22200178,True,NYK,14400,18.65,33,50,79,408,2,1,283,23,18,34,0.529,24,60,0.4,0.447,15,18,0.833
22200178,False,DET,14400,18.27,27,63,88,380,0,6,259,22,17,28,0.607,20,52,0.385,0.463,16,24,0.667
22200179,True,OKC,14400,18.79,35,55,88,410,4,2,280,31,26,39,0.667,26,54,0.481,0.559,19,34,0.559
22200179,False,TOR,14400,18.38,33,53,83,413,0,3,286,20,18,40,0.45,20,48,0.417,0.432,27,36,0.75
22200180,True,SAS,14400,18.59,26,77,98,392,4,3,278,22,18,36,0.5,25,49,0.51,0.506,11,27,0.407
