gameid,home,team,playerid,name,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
22200002,True,GSW,1630164,James Wiseman,991.0,1.0,0.0,1.0,0.25,0.0,0.25,0.0,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0
22200002,True,GSW,203210,JaMychal Green,1406.0,0.5,0.5,0.25,0.0,0.75,0.0,0.0,0.625,0.25,0.0,1.0,1.0,0.0,0.667,0.333
22200002,True,GSW,1630228,Jonathan Kuminga,784.0,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200002,True,GSW,1628978,Donte DiVincenzo,1297.0,0.667,0.333,0.5,0.25,0.375,0.0,0.125,0.625,0.25,0.5,0.5,1.0,0.0,0.667,0.333
22200002,True,GSW,1630541,Moses Moody,455.0,0.25,0.75,0.4,0.0,0.6,0.6,0.0,0.6,0.4,1.0,0.0,1.0,0.0,1.0,0.0
22200002,True,GSW,1631157,Ryan Rollins,112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200002,True,GSW,1631116,Patrick Baldwin Jr.,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200002,False,LAL,1629022,Lonnie Walker IV,1757.0,0.571,0.429,0.8,0.0,0.0,0.0,0.2,0.0,0.8,0.5,0.5,0.0,0.0,0.5,0.5
22200002,False,LAL,2544,LeBron James,2112.0,0.615,0.385,0.581,0.0,0.29,0.355,0.129,0.29,0.581,0.333,0.667,0.667,0.333,0.417,0.583
22200002,False,LAL,203076,Anthony Davis,2136.0,0.864,0.136,0.741,0.0,0.0,0.333,0.259,0.111,0.741,0.7,0.3,0.0,0.0,0.7,0.3
22200002,False,LAL,201566,Russell Westbrook,1841.0,0.75,0.25,0.632,0.0,0.158,0.211,0.211,0.105,0.632,0.167,0.833,1.0,0.0,0.286,0.714
22200002,False,LAL,201976,Patrick Beverley,1480.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200002,False,LAL,1630559,Austin Reaves,960.0,0.333,0.667,0.667,0.0,0.0,1.0,0.333,1.0,0.667,1.0,0.0,0.0,0.0,1.0,0.0
22200002,False,LAL,1629134,Kendrick Nunn,1383.0,0.333,0.667,0.308,0.0,0.692,0.0,0.0,0.0,0.308,1.0,0.0,0.667,0.333,0.8,0.2
22200002,False,LAL,1629308,Juan Toscano-Anderson,858.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200002,False,LAL,1629117,Wenyen Gabriel,468.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200002,False,LAL,1630346,Matt Ryan,1069.0,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200002,False,LAL,1631306,Cole Swider,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200002,False,LAL,1630590,Scotty Pippen Jr.,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200002,False,LAL,1631108,Max Christie,112.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200002,False,LAL,1627745,Damian Jones,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,True,DET,1630180,Saddiq Bey,1883.0,0.6,0.4,0.5,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5
22200003,True,DET,202711,Bojan Bogdanovic,2090.0,0.375,0.625,0.167,0.083,0.75,0.125,0.083,0.125,0.083,0.5,0.5,0.833,0.167,0.75,0.25
22200003,True,DET,1630191,Isaiah Stewart,1578.0,0.333,0.667,0.286,0.0,0.214,0.143,0.5,0.143,0.286,1.0,0.0,1.0,0.0,1.0,0.0
22200003,True,DET,1630595,Cade Cunningham,2106.0,0.625,0.375,0.444,0.111,0.333,0.0,0.222,0.278,0.333,0.5,0.5,1.0,0.0,0.667,0.333
22200003,True,DET,1631093,Jaden Ivey,1904.0,0.733,0.267,0.632,0.0,0.316,0.263,0.053,0.263,0.632,0.667,0.333,1.0,0.0,0.75,0.25
22200003,True,DET,1630165,Killian Hayes,971.0,0.667,0.333,0.667,0.0,0.0,0.667,0.333,0.667,0.667,1.0,0.0,0.0,0.0,1.0,0.0
22200003,True,DET,1631105,Jalen Duren,1303.0,1.0,0.0,1.0,0.0,0.0,0.286,0.0,0.0,1.0,0.714,0.286,0.0,0.0,0.714,0.286
22200003,True,DET,1628995,Kevin Knox II,790.0,0.25,0.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200003,True,DET,202709,Cory Joseph,908.0,0.333,0.667,0.25,0.25,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22200003,True,DET,1628977,Hamidou Diallo,868.0,0.667,0.333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
22200003,True,DET,1631205,Buddy Boeheim,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,True,DET,1630296,Braxton Key,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,True,DET,203585,Rodney McGruder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,True,DET,203457,Nerlens Noel,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,False,ORL,1631094,Paolo Banchero,2120.0,1.0,0.0,0.815,0.074,0.0,0.222,0.185,0.296,0.741,0.545,0.455,0.0,0.0,0.545,0.455
22200003,False,ORL,1630532,Franz Wagner,2047.0,0.667,0.333,0.6,0.1,0.3,0.2,0.1,0.0,0.5,0.333,0.667,0.5,0.5,0.375,0.625
22200003,False,ORL,1628976,Wendell Carter Jr.,1959.0,0.75,0.25,0.727,0.0,0.273,0.273,0.0,0.182,0.727,0.5,0.5,1.0,0.0,0.6,0.4
22200003,False,ORL,203082,Terrence Ross,1909.0,0.333,0.667,0.308,0.154,0.692,0.231,0.0,0.231,0.154,1.0,0.0,0.667,0.333,0.8,0.2
22200003,False,ORL,1630591,Jalen Suggs,1514.0,0.455,0.545,0.381,0.0,0.571,0.19,0.048,0.095,0.381,0.0,1.0,0.5,0.5,0.25,0.75
22200003,False,ORL,1631216,Caleb Houstan,1315.0,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,False,ORL,1629626,Bol Bol,1052.0,1.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.8,0.5,0.5,0.0,0.0,0.5,0.5
22200003,False,ORL,1628964,Mo Bamba,720.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,False,ORL,1629643,Chuma Okeke,1075.0,0.667,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,False,ORL,1630181,R.J. Hampton,689.0,0.5,0.5,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200003,False,ORL,1630175,Cole Anthony,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,False,ORL,1630284,Kevon Harris,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200003,False,ORL,1629678,Admiral Schofield,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,True,IND,1627741,Buddy Hield,1893.0,0.313,0.688,0.25,0.0,0.75,0.188,0.0,0.313,0.25,0.0,1.0,0.75,0.25,0.5,0.5
22200004,True,IND,1630678,Terry Taylor,1443.0,0.5,0.5,0.25,0.0,0.375,0.0,0.375,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0
22200004,True,IND,1630188,Jalen Smith,1323.0,0.571,0.429,0.625,0.0,0.188,0.188,0.188,0.313,0.625,0.8,0.2,1.0,0.0,0.833,0.167
22200004,True,IND,1630537,Chris Duarte,1165.0,0.333,0.667,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200004,True,IND,1630169,Tyrese Haliburton,2140.0,0.667,0.333,0.538,0.385,0.346,0.192,0.115,0.0,0.154,0.143,0.857,0.0,1.0,0.1,0.9
22200004,True,IND,1630543,Isaiah Jackson,951.0,1.0,0.0,0.667,0.0,0.0,0.0,0.333,0.667,0.667,1.0,0.0,0.0,0.0,1.0,0.0
22200004,True,IND,1631097,Bennedict Mathurin,1670.0,0.533,0.467,0.421,0.105,0.474,0.368,0.105,0.105,0.316,0.5,0.5,0.667,0.333,0.571,0.429
22200004,True,IND,204456,T.J. McConnell,998.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.25,0.75,0.5,0.5,0.0,0.0,0.5,0.5
22200004,True,IND,1629052,Oshae Brissett,861.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200004,True,IND,1630174,Aaron Nesmith,1350.0,0.375,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
