gameid,home,team,playerid,name,SEC,PTS,contestedshots,contestedshots2P,contestedshots3P,deflections,chargesdrawn,screenAST,screenASTPTS,looseballsrecoveredOFF,looseballsrecoveredDEF,looseballsrecoveredtotal,OFFboxouts,DEFboxouts,boxoutplayerteamREB,boxoutplayerREB,boxouts
22200003,True,DET,202709,Cory Joseph,908,8,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
22200003,True,DET,1628977,Hamidou Diallo,868,2,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1
22200003,False,ORL,1631094,Paolo Banchero,2120,27,10,6,4,0,0,0,0,0,0,0,1,3,2,2,4
22200003,False,ORL,1630532,Franz Wagner,2047,20,6,4,2,2,0,0,0,2,0,2,0,0,0,0,0
22200003,False,ORL,1628976,Wendell Carter Jr.,1959,11,9,7,2,1,0,6,14,0,0,0,0,3,3,2,3
22200003,False,ORL,203082,Terrence Ross,1909,13,4,2,2,3,0,0,0,0,0,0,0,1,1,0,1
22200003,False,ORL,1630591,Jalen Suggs,1514,21,5,1,4,1,0,1,3,0,1,1,0,0,0,0,0
22200003,False,ORL,1631216,Caleb Houstan,1315,0,5,4,1,1,0,0,0,0,0,0,0,1,1,0,1
22200003,False,ORL,1629626,Bol Bol,1052,10,9,6,3,0,0,0,0,0,0,0,1,0,1,1,1
22200003,False,ORL,1628964,Mo Bamba,720,0,6,2,4,0,0,3,9,1,0,1,0,2,1,0,2
22200003,False,ORL,1629643,Chuma Okeke,1075,2,5,2,3,0,0,0,0,2,0,2,0,2,2,1,2
22200003,False,ORL,1630181,R.J. Hampton,689,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
22200004,True,IND,1627741,Buddy Hield,1893,16,3,2,1,1,0,0,0,1,0,1,1,0,1,1,1
22200004,True,IND,1630678,Terry Taylor,1443,8,6,3,3,1,0,1,2,1,0,1,1,1,2,1,2
22200004,True,IND,1630188,Jalen Smith,1323,16,15,10,5,0,0,3,6,0,0,0,0,1,0,0,1
22200004,True,IND,1630537,Chris Duarte,1165,5,7,3,4,0,0,1,2,0,0,0,0,1,1,0,1
22200004,True,IND,1630169,Tyrese Haliburton,2140,26,4,1,3,2,0,0,0,1,0,1,0,0,0,0,0
22200004,True,IND,1630543,Isaiah Jackson,951,3,11,7,4,1,0,1,2,0,0,0,0,0,0,0,0
22200004,True,IND,1631097,Bennedict Mathurin,1670,19,1,1,0,5,0,0,0,0,0,0,1,1,2,1,2
22200004,True,IND,204456,T.J. McConnell,998,8,4,3,1,1,1,0,0,0,1,1,0,0,0,0,0
22200004,True,IND,1629052,Oshae Brissett,861,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
22200004,True,IND,1630174,Aaron Nesmith,1350,3,2,2,0,0,0,0,0,0,1,1,0,1,1,0,1
22200004,True,IND,1629048,Goga Bitadze,606,0,4,4,0,1,0,2,5,0,0,0,0,0,0,0,0
22200004,False,WAS,1630166,Deni Avdija,460,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
22200004,False,WAS,1628398,Kyle Kuzma,2070,22,10,4,6,1,0,0,0,1,0,1,1,2,3,3,3
22200004,False,WAS,204001,Kristaps Porzingis,1906,15,12,8,4,3,0,4,8,0,0,0,0,5,5,3,5
22200004,False,WAS,203078,Bradley Beal,2251,23,6,2,4,1,0,0,0,1,0,1,0,1,1,1,1
22200004,False,WAS,1628420,Monte Morris,1283,7,4,1,3,3,0,1,2,1,0,1,0,0,0,0,0
22200004,False,WAS,1629060,Rui Hachimura,1440,7,7,4,3,0,0,0,0,0,1,1,0,2,2,1,2
22200004,False,WAS,1626153,Delon Wright,1597,8,10,6,4,3,0,0,0,0,0,0,1,1,2,2,2
22200004,False,WAS,1630264,Anthony Gill,927,2,5,4,1,0,0,1,3,0,0,0,0,0,0,0,0
22200004,False,WAS,203115,Will Barton,1507,14,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
22200004,False,WAS,1629655,Daniel Gafford,959,12,8,5,3,1,0,3,7,0,1,1,0,0,0,0,0
22200005,True,ATL,1629631,De'Andre Hunter,1928,22,5,1,4,2,0,1,2,0,1,1,0,1,0,0,1
22200005,True,ATL,1628381,John Collins,2019,24,16,8,8,2,0,2,5,0,1,1,0,1,0,0,1
22200005,True,ATL,203991,Clint Capela,1562,2,14,13,1,0,1,8,16,0,0,0,0,2,2,1,2
22200005,True,ATL,1627749,Dejounte Murray,2294,20,8,2,6,5,0,0,0,0,0,0,0,0,0,0,0
22200005,True,ATL,1629027,Trae Young,2274,23,2,1,1,2,0,0,0,0,1,1,0,2,2,0,2
22200005,True,ATL,1630552,Jalen Johnson,861,5,2,1,1,0,0,0,0,0,1,1,1,1,0,0,2
22200005,True,ATL,1628988,Aaron Holiday,1082,5,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0
22200005,True,ATL,1630168,Onyeka Okongwu,1267,13,14,11,3,0,0,2,4,1,0,1,0,1,0,0,1
22200005,True,ATL,203200,Justin Holiday,1113,3,5,2,3,1,0,0,0,0,1,1,0,0,0,0,0
22200005,False,HOU,201569,Eric Gordon,1759,11,3,3,0,0,0,0,0,2,0,2,0,0,0,0,0
22200005,False,HOU,1631095,Jabari Smith Jr.,1974,17,5,4,1,4,0,2,5,0,0,0,0,0,0,0,0
22200005,False,HOU,1628981,Bruno Fernando,1502,7,13,13,0,0,0,8,19,1,0,1,0,7,5,1,7
22200005,False,HOU,1630224,Jalen Green,1933,16,7,2,5,1,0,0,0,2,2,4,0,0,0,0,0
22200005,False,HOU,1629645,Kevin Porter Jr.,2037,21,4,1,3,3,0,0,0,1,0,1,0,0,0,0,0
22200005,False,HOU,1630231,Kenyon Martin Jr.,1362,6,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0
22200005,False,HOU,1631106,Tari Eason,906,8,4,1,3,0,0,0,0,0,0,0,0,1,0,0,1
22200005,False,HOU,1630578,Alperen Sengun,1325,15,7,6,1,1,0,1,2,0,0,0,0,1,1,0,1
22200005,False,HOU,1629726,Garrison Mathews,843,0,2,1,1,0,0,0,0,0,0,0,0,2,2,0,2
22200005,False,HOU,1630528,Josh Christopher,759,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22200006,True,BKN,201142,Kevin Durant,1907,32,8,8,0,2,0,0,0,0,0,0,0,0,0,0,0
22200006,True,BKN,1626220,Royce O'Neale,2049,10,12,8,4,4,0,1,3,1,1,2,0,0,0,0,0
22200006,True,BKN,1629651,Nic Claxton,1486,13,15,12,3,4,0,2,5,0,2,2,1,2,3,3,3
22200006,True,BKN,202681,Kyrie Irving,2050,15,3,2,1,5,0,2,4,0,0,0,0,1,1,0,1
22200006,True,BKN,1627732,Ben Simmons,1390,4,1,1,0,2,0,3,7,0,0,0,0,3,2,2,3
22200006,True,BKN,1630549,Day'Ron Sharpe,1351,4,7,7,0,3,0,6,15,1,1,2,2,1,3,2,3
22200006,True,BKN,201988,Patty Mills,1361,16,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0
22200006,True,BKN,1628410,Edmond Sumner,1133,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
22200006,True,BKN,202693,Markieff Morris,164,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22200006,True,BKN,1630560,Cam Thomas,763,2,1,1,0,0,0,0,0,0,0,0,0,2,2,0,2
22200006,True,BKN,1629139,Yuta Watanabe,514,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
22200006,True,BKN,1630556,Kessler Edwards,232,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22200006,False,NOP,1627742,Brandon Ingram,1860,28,4,0,4,3,0,0,0,0,0,0,0,1,1,0,1
22200006,False,NOP,1629627,Zion Williamson,1802,25,0,0,0,5,0,2,6,0,0,0,0,1,1,0,1
22200006,False,NOP,202685,Jonas Valanciunas,1596,15,9,8,1,1,0,2,4,0,0,0,3,3,6,3,6
22200006,False,NOP,1630529,Herbert Jones,1678,6,11,8,3,3,0,0,0,1,0,1,0,1,1,0,1
22200006,False,NOP,203468,CJ McCollum,1862,21,6,2,4,2,0,0,0,0,0,0,0,0,0,0,0
22200006,False,NOP,1630631,Jose Alvarado,944,7,3,3,0,0,0,2,4,0,0,0,0,0,0,0,0
22200006,False,NOP,1630530,Trey Murphy III,1437,16,4,3,1,0,0,0,0,2,0,2,0,2,2,2,2
22200006,False,NOP,1626204,Larry Nance Jr.,1284,8,5,5,0,1,0,3,7,0,0,0,0,3,3,1,3
22200006,False,NOP,1628984,Devonte' Graham,902,0,2,0,2,1,0,1,3,0,1,1,0,0,0,0,0
22200006,False,NOP,1630230,Naji Marshall,843,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
22200006,False,NOP,1630700,Dyson Daniels,192,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
22200007,True,MIA,202710,Jimmy Butler,2194,24,4,4,0,2,0,2,5,0,1,1,1,1,1,1,2
22200007,True,MIA,1628997,Caleb Martin,1717,7,3,2,1,3,0,0,0,1,0,1,0,1,1,0,1
22200007,True,MIA,1628389,Bam Adebayo,2040,12,11,5,6,1,0,4,9,0,0,0,0,1,1,1,1
22200007,True,MIA,1629639,Tyler Herro,2068,23,10,6,4,2,0,0,0,1,1,2,0,0,0,0,0
22200007,True,MIA,200768,Kyle Lowry,2079,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
22200007,True,MIA,1629622,Max Strus,1849,22,7,5,2,2,1,0,0,0,1,1,0,0,0,0,0
22200007,True,MIA,1629216,Gabe Vincent,963,2,5,0,5,1,0,0,0,0,0,0,0,1,1,0,1
22200007,True,MIA,203473,Dewayne Dedmon,808,11,0,0,0,0,0,2,5,0,0,0,0,2,2,0,2
22200007,True,MIA,1629130,Duncan Robinson,654,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22200007,True,MIA,1629312,Haywood Highsmith,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22200007,False,CHI,201942,DeMar DeRozan,2168,37,6,4,2,3,0,0,0,1,0,1,0,0,0,0,0
22200007,False,CHI,1630172,Patrick Williams,1688,4,2,1,1,1,0,1,2,0,0,0,0,1,1,1,1
22200007,False,CHI,202696,Nikola Vucevic,1987,15,10,9,1,0,0,3,7,0,0,0,1,1,2,2,2
22200007,False,CHI,1627936,Alex Caruso,1779,6,8,0,8,3,0,4,9,1,1,2,0,0,0,0,0
22200007,False,CHI,1630245,Ayo Dosunmu,2185,17,5,2,3,1,0,0,0,0,1,1,0,0,0,0,0
22200007,False,CHI,1629750,Javonte Green,1097,6,1,0,1,3,0,1,2,0,0,0,0,1,1,0,1
22200007,False,CHI,1629632,Coby White,1473,10,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0
22200007,False,CHI,203083,Andre Drummond,893,9,5,2,3,1,0,4,11,0,0,0,1,0,1,1,1
22200007,False,CHI,201609,Goran Dragic,1131,12,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0
22200008,True,TOR,1628384,O.G. Anunoby,2253,18,6,6,0,2,0,0,0,0,2,2,0,0,0,0,0
22200008,True,TOR,1630567,Scottie Barnes,1940,15,9,6,3,2,0,0,0,1,0,1,0,0,0,0,0
22200008,True,TOR,1627783,Pascal Siakam,2044,23,8,5,3,3,0,0,0,1,1,2,0,3,1,0,3
22200008,True,TOR,1629018,Gary Trent Jr.,2219,19,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0
22200008,True,TOR,1627832,Fred VanVleet,2321,15,3,3,0,4,0,1,2,0,1,1,0,1,1,0,1
22200008,True,TOR,1630173,Precious Achiuwa,1077,10,4,2,2,2,0,0,0,0,1,1,0,0,0,0,0
22200008,True,TOR,1631132,Christian Koloko,922,3,7,5,2,0,0,2,5,0,0,0,0,0,0,0,0
22200008,True,TOR,1630625,Dalano Banton,553,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
22200008,True,TOR,201152,Thaddeus Young,647,3,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0
22200008,True,TOR,1627823,Juancho Hernangomez,425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22200008,False,CLE,1628378,Donovan Mitchell,2071,31,6,2,4,1,0,0,0,1,1,2,0,0,0,0,0
22200008,False,CLE,1630596,Evan Mobley,2135,14,9,5,4,2,0,2,4,0,0,0,0,4,1,0,4
22200008,False,CLE,1628386,Jarrett Allen,2033,13,16,14,2,1,0,4,9,1,0,1,0,0,0,0,0
22200008,False,CLE,1627747,Caris LeVert,2081,10,4,2,2,3,0,0,0,1,0,1,0,0,0,0,0
22200008,False,CLE,1629636,Darius Garland,798,4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
22200008,False,CLE,1630171,Isaac Okoro,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200008,False,CLE,201567,Kevin Love,1254,8,4,2,2,0,0,1,2,0,0,0,0,1,1,1,1
22200008,False,CLE,1629731,Dean Wade,1302,8,6,5,1,1,0,0,0,0,0,0,0,2,1,0,2
22200008,False,CLE,1626224,Cedi Osman,1659,17,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
22200008,False,CLE,203526,Raul Neto,362,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22200009,True,MEM,1630217,Desmond Bane,2248,16,6,1,5,2,0,0,0,0,0,0,0,0,0,0,0
22200009,True,MEM,1630583,Santi Aldama,2339,18,13,8,5,1,0,1,2,0,0,0,0,1,1,0,1
22200009,True,MEM,203500,Steven Adams,1952,3,4,2,2,1,1,4,9,2,0,2,2,3,5,3,5
22200009,True,MEM,1629723,John Konchar,2002,12,5,1,4,2,1,0,0,0,0,0,0,0,0,0,0
22200009,True,MEM,1629630,Ja Morant,2273,34,9,6,3,1,0,0,0,0,0,0,0,0,0,0,0
22200009,True,MEM,1629634,Brandon Clarke,1120,8,2,2,0,0,0,2,5,1,0,1,0,0,0,0,0
