gameid,home,team,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
22201226,True,OKC,14400,0.6,0.4,0.574,0.052,0.313,0.13,0.113,0.113,0.522,0.576,0.424,0.917,0.083,0.667,0.333
22201226,False,MEM,14400,0.598,0.402,0.66,0.1,0.21,0.08,0.13,0.16,0.56,0.576,0.424,0.857,0.143,0.625,0.375
22201227,True,DEN,14400,0.667,0.333,0.642,0.073,0.193,0.156,0.165,0.202,0.569,0.514,0.486,1.0,0.0,0.595,0.405
22201227,False,SAC,14400,0.494,0.506,0.547,0.063,0.347,0.084,0.105,0.189,0.484,0.5,0.5,1.0,0.0,0.649,0.351
22201228,True,LAL,14400,0.536,0.464,0.453,0.063,0.422,0.203,0.125,0.102,0.391,0.586,0.414,0.611,0.389,0.596,0.404
22201228,False,UTA,14400,0.653,0.347,0.701,0.051,0.256,0.12,0.043,0.06,0.65,0.585,0.415,0.7,0.3,0.608,0.392
22201229,True,PHX,14400,0.626,0.374,0.491,0.053,0.368,0.096,0.14,0.105,0.439,0.536,0.464,1.0,0.0,0.69,0.31
22201229,False,LAC,14400,0.77,0.23,0.739,0.168,0.126,0.109,0.134,0.084,0.571,0.409,0.591,0.8,0.2,0.449,0.551
22201230,True,POR,14400,0.632,0.368,0.574,0.099,0.267,0.139,0.158,0.168,0.475,0.586,0.414,0.889,0.111,0.658,0.342
22201230,False,GSW,14400,0.49,0.51,0.395,0.013,0.516,0.166,0.089,0.159,0.382,0.774,0.226,0.852,0.148,0.81,0.19
42200101,True,MIL,14400,0.505,0.495,0.581,0.188,0.282,0.051,0.137,0.171,0.393,0.588,0.412,0.818,0.182,0.644,0.356
42200101,False,MIA,14400,0.702,0.298,0.538,0.062,0.346,0.108,0.115,0.146,0.477,0.514,0.486,0.933,0.067,0.64,0.36
42200102,True,MIL,14400,0.505,0.495,0.406,0.029,0.543,0.145,0.051,0.217,0.377,0.536,0.464,0.8,0.2,0.66,0.34
42200102,False,MIA,14400,0.571,0.429,0.475,0.131,0.393,0.074,0.131,0.123,0.344,0.517,0.483,0.688,0.313,0.578,0.422
42200103,True,MIA,14400,0.607,0.393,0.479,0.083,0.397,0.149,0.124,0.174,0.397,0.414,0.586,0.625,0.375,0.489,0.511
42200103,False,MIL,14400,0.541,0.459,0.465,0.101,0.455,0.131,0.081,0.131,0.364,0.478,0.522,0.733,0.267,0.579,0.421
42200104,True,MIA,14400,0.632,0.368,0.504,0.168,0.328,0.185,0.168,0.202,0.336,0.433,0.567,0.615,0.385,0.488,0.512
42200104,False,MIL,14400,0.588,0.412,0.509,0.035,0.342,0.114,0.149,0.149,0.474,0.552,0.448,0.923,0.077,0.667,0.333
42200105,True,MIL,15900,0.637,0.363,0.444,0.063,0.333,0.071,0.222,0.119,0.381,0.357,0.643,0.714,0.286,0.476,0.524
42200105,False,MIA,15900,0.591,0.409,0.516,0.109,0.398,0.07,0.086,0.188,0.406,0.333,0.667,0.824,0.176,0.5,0.5
42200111,True,BOS,14400,0.625,0.375,0.518,0.036,0.348,0.036,0.134,0.107,0.482,0.621,0.379,0.538,0.462,0.595,0.405
