gameid,home,team,SEC,estOFFRTG,OFFRTG,estDEFRTG,DEFRTG,estNETRTG,NETRTG,ASTpct,ASTtoTOV,ASTratio,ORBpct,DRBpct,REBpct,estteamTOVpct,TOVratio,effFGpct,TSpct,USGpct,estUSGpct,estpace,pace,paceper40,POS,pie
22200014,True,SAC,14400,102.5,106.9,112.2,113.9,-9.7,-6.9,0.692,1.69,19.8,0.234,0.736,0.5,15.186,15.8,0.559,0.578,1,0.199,103.94,101.0,84.17,101,0.474
22200014,False,POR,14400,112.2,113.9,102.5,106.9,9.7,6.9,0.513,1.82,15.0,0.264,0.766,0.5,10.73,10.9,0.506,0.561,1,0.199,103.94,101.0,84.17,101,0.526
22200015,True,PHI,14400,94.9,92.6,92.6,94.7,2.3,-2.1,0.472,1.7,14.7,0.125,0.788,0.47,10.785,10.5,0.464,0.496,1,0.201,94.94,95.0,79.17,95,0.503
22200015,False,MIL,14400,92.6,94.7,94.9,92.6,-2.3,2.1,0.706,1.71,18.7,0.212,0.875,0.53,14.409,14.7,0.482,0.499,1,0.196,94.94,95.0,79.17,95,0.497
22200016,True,LAL,14400,90.3,91.5,96.6,99.0,-6.3,-7.5,0.697,2.3,16.6,0.2,0.717,0.414,9.308,9.4,0.399,0.46,1,0.199,107.04,105.0,87.5,106,0.458
22200016,False,LAC,14400,96.6,99.0,90.3,91.5,6.3,7.5,0.486,0.78,13.4,0.283,0.8,0.586,21.568,22.1,0.519,0.55,1,0.199,107.04,105.0,87.5,104,0.542
22200017,True,CHA,14400,105.5,108.7,116.7,119.2,-11.2,-10.5,0.682,2.14,20.4,0.264,0.583,0.416,13.188,13.6,0.521,0.543,1,0.196,106.22,103.5,86.25,103,0.424
22200017,False,NOP,14400,116.7,119.2,105.5,108.7,11.2,10.5,0.548,1.44,15.9,0.417,0.736,0.584,15.055,15.4,0.517,0.589,1,0.198,106.22,103.5,86.25,104,0.576
22200018,True,IND,14400,115.8,118.6,124.1,123.4,-8.3,-4.8,0.627,2.0,19.8,0.377,0.791,0.563,13.831,14.2,0.543,0.589,1,0.197,113.02,112.0,93.33,113,0.459
22200018,False,SAS,14400,124.1,123.4,115.8,118.6,8.3,4.8,0.773,2.0,22.5,0.209,0.623,0.438,15.404,15.3,0.648,0.683,1,0.203,113.02,112.0,93.33,111,0.541
