gameid,home,team,SEC,PTSoffTOV,2ndPTS,FBPTS,PIP,oppPTSoffTOV,opp2ndPTS,oppFBPTS,oppPIP,BLK,BLKA,PF,foulsdrawn
22200180,True,SAS,14400,23,17,21,50,24,21,0,32,13,5,22,14
22200180,False,MIL,14400,24,21,0,32,23,17,21,50,5,13,14,22
22200181,True,MEM,14400,18,32,10,62,17,9,5,46,3,4,19,25
22200181,False,MIN,14400,17,9,5,46,18,32,10,62,4,3,25,19
22200182,True,GSW,14400,11,4,16,42,18,17,9,52,3,3,27,17
22200182,False,CLE,14400,18,17,9,52,11,4,16,42,3,3,17,27
22200183,True,LAL,14400,13,19,12,58,16,17,16,60,5,4,22,17
22200183,False,SAC,14400,16,17,16,60,13,19,12,58,4,5,17,22
22200184,True,LAC,14400,9,15,6,34,18,8,8,34,6,6,17,18
22200184,False,BKN,14400,18,8,8,34,9,15,6,34,6,6,18,17
22200185,True,WAS,14400,12,11,13,52,8,4,4,48,8,3,14,17
22200185,False,UTA,14400,8,4,4,48,12,11,13,52,3,8,17,14
22200186,True,DET,14400,9,15,5,30,14,13,14,36,3,4,23,17
22200186,False,BOS,14400,14,13,14,36,9,15,5,30,4,3,17,23
22200187,True,IND,14400,15,17,18,40,22,21,12,52,6,8,23,18
22200187,False,TOR,14400,22,21,12,52,15,17,18,40,8,6,18,23
22200188,True,PHI,14400,33,4,18,56,13,11,18,56,5,2,26,19
22200188,False,ATL,14400,13,11,18,56,33,4,18,56,2,5,19,26
22200189,True,MIA,14400,13,17,10,58,17,9,14,64,5,3,19,21
22200189,False,CHA,14400,17,9,14,64,13,17,10,58,3,5,21,19
22200190,True,DAL,14400,20,9,12,48,21,20,6,36,2,2,27,21
22200190,False,POR,14400,21,20,6,36,20,9,12,48,2,2,21,27
22200191,True,NOP,14400,32,10,16,56,16,14,4,48,1,4,23,23
22200191,False,HOU,14400,16,14,4,48,32,10,16,56,4,1,23,23
22200192,True,NYK,14400,21,17,14,74,16,7,14,66,2,5,18,27
22200192,False,OKC,14400,16,7,14,66,21,17,14,74,5,2,27,18
22200193,True,CLE,14400,13,22,4,42,19,6,16,54,1,4,22,30
22200193,False,MIN,14400,19,6,16,54,13,22,4,42,4,1,30,22
22200194,True,WAS,14400,12,6,10,34,18,23,15,50,6,6,15,24
22200194,False,MEM,14400,18,23,15,50,12,6,10,34,6,6,24,15
22200195,True,PHI,14400,23,7,17,54,12,26,11,48,14,4,19,17
22200195,False,UTA,14400,12,26,11,48,23,7,17,54,4,14,17,19
22200196,True,CHI,14400,20,8,15,54,21,6,9,58,4,3,19,17
22200196,False,DEN,14400,21,6,9,58,20,8,15,54,3,4,17,19
22200197,True,SAC,14400,18,17,10,52,26,13,12,46,2,5,17,20
22200197,False,GSW,14400,26,13,12,46,18,17,10,52,5,2,20,17
22200198,True,LAL,14400,14,15,4,56,10,8,14,48,2,5,22,17
22200198,False,BKN,14400,10,8,14,48,14,15,4,56,5,2,17,22
22200199,True,DET,14400,24,18,4,44,21,17,15,56,2,8,23,27
22200199,False,TOR,14400,21,17,15,56,24,18,4,44,8,2,27,23
22200200,True,ORL,14400,13,34,4,40,21,18,18,64,7,7,18,23
22200200,False,CHA,14400,21,18,18,64,13,34,4,40,7,7,23,18
22200201,True,BOS,14400,23,11,24,64,16,13,17,58,7,6,20,21
22200201,False,OKC,14400,16,13,17,58,23,11,24,64,6,7,21,20
22200202,True,MIA,14400,22,20,11,44,20,23,8,42,4,4,10,22
22200202,False,PHX,14400,20,23,8,42,22,20,11,44,4,4,22,10
22200203,True,HOU,14400,17,13,11,48,18,12,16,46,3,4,22,23
22200203,False,LAC,14400,18,12,16,46,17,13,11,48,4,3,23,22
22200204,True,MIL,14400,10,16,19,48,20,20,15,56,3,4,26,23
22200204,False,ATL,14400,20,20,15,56,10,16,19,48,4,3,23,26
22200205,True,GSW,14400,27,8,19,44,15,28,4,38,3,6,17,17
22200205,False,SAS,14400,15,28,4,38,27,8,19,44,6,3,17,17
22200206,True,NOP,14400,14,15,11,44,11,18,12,54,8,8,20,17
22200206,False,MEM,14400,11,18,12,54,14,15,11,44,8,8,17,20
22200207,True,DAL,14400,28,10,4,32,14,0,15,24,1,2,20,27
22200207,False,LAC,14400,14,0,15,24,28,10,4,32,2,1,27,20
22200208,True,UTA,14400,10,15,22,40,24,19,21,60,5,3,22,25
22200208,False,NYK,14400,24,19,21,60,10,15,22,40,3,5,25,22
22200209,True,POR,14400,25,11,11,48,31,16,12,68,3,5,17,25
22200209,False,SAS,14400,31,16,12,68,25,11,11,48,5,3,25,17
22200210,True,SAC,14400,25,11,26,66,16,1,10,44,4,3,24,18
22200210,False,BKN,14400,16,1,10,44,25,11,26,66,3,4,18,24
22200211,True,CHA,14400,20,19,12,56,27,10,12,62,4,9,23,18
22200211,False,IND,14400,27,10,12,62,20,19,12,56,9,4,18,23
22200212,True,ORL,14400,14,20,9,56,22,11,30,58,5,6,26,15
22200212,False,MIN,14400,22,11,30,58,14,20,9,56,6,5,15,26
22200213,True,WAS,14400,12,17,8,42,26,16,7,50,5,7,20,22
22200213,False,OKC,14400,26,16,7,50,12,17,8,42,7,5,22,20
22200214,True,ATL,14400,9,13,12,58,18,10,15,50,5,8,11,20
22200214,False,BOS,14400,18,10,15,50,9,13,12,58,8,5,20,11
22200215,True,TOR,14400,29,26,9,58,25,5,12,42,3,4,23,20
22200215,False,MIA,14400,25,5,12,42,29,26,9,58,4,3,20,23
22200216,True,MIL,14400,6,21,15,36,16,6,6,36,6,7,16,18
22200216,False,CLE,14400,16,6,6,36,6,21,15,36,7,6,18,16
22200217,True,NOP,14400,9,15,10,46,13,9,9,48,6,1,18,18
22200217,False,CHI,14400,13,9,9,48,9,15,10,46,1,6,18,18
22200218,True,DAL,14400,25,19,22,32,11,18,9,46,2,19,19,19
22200218,False,HOU,14400,11,18,9,46,25,19,22,32,19,2,19,19
22200219,True,DEN,14400,9,13,12,34,14,13,21,50,5,5,25,18
22200219,False,NYK,14400,14,13,21,50,9,13,12,34,5,5,18,25
22200220,True,PHX,14400,26,16,13,34,17,5,12,34,8,3,22,23
22200220,False,GSW,14400,17,5,12,34,26,16,13,34,3,8,23,22
22200221,True,POR,14400,30,9,23,42,13,10,27,50,5,5,22,24
22200221,False,BKN,14400,13,10,27,50,30,9,23,42,5,5,24,22
22200222,True,SAC,14400,21,16,20,54,13,4,16,56,1,6,15,22
22200222,False,SAS,14400,13,4,16,56,21,16,20,54,6,1,22,15
22200223,True,LAC,14400,6,14,4,38,19,12,15,48,1,7,21,26
22200223,False,DET,14400,19,12,15,48,6,14,4,38,7,1,26,21
22200224,True,WAS,15900,8,8,6,40,7,16,7,40,4,4,25,15
22200224,False,MIA,15900,7,16,7,40,8,8,6,40,4,4,15,25
22200225,True,CLE,17400,16,14,2,64,34,22,19,54,8,6,25,33
22200225,False,CHA,17400,34,22,19,54,16,14,2,64,6,8,33,25
22200226,True,PHI,14400,8,6,8,36,15,13,10,44,5,7,18,18
22200226,False,MIL,14400,15,13,10,44,8,6,8,36,7,5,18,18
22200227,True,CHI,14400,25,12,18,50,13,8,5,40,6,7,19,25
22200227,False,ORL,14400,13,8,5,40,25,12,18,50,7,6,25,19
22200228,True,HOU,14400,18,14,10,40,18,17,12,38,4,10,24,26
22200228,False,IND,14400,18,17,12,38,18,14,10,40,10,4,26,24
22200229,True,MEM,14400,7,14,30,46,13,12,6,56,7,9,13,28
22200229,False,OKC,14400,13,12,6,56,7,14,30,46,9,7,28,13
22200230,True,DAL,14400,16,10,7,64,6,7,14,46,3,1,19,20
22200230,False,DEN,14400,6,7,14,46,16,10,7,64,1,3,20,19
22200231,True,NOP,14400,20,10,24,52,23,9,11,38,3,3,18,13
22200231,False,BOS,14400,23,9,11,38,20,10,24,52,3,3,13,18
22200232,True,UTA,14400,13,16,8,58,21,25,19,66,3,6,28,25
22200232,False,PHX,14400,21,25,19,66,13,16,8,58,6,3,25,28
22200233,True,GSW,14400,16,11,21,40,19,17,19,40,3,7,26,16
22200233,False,NYK,14400,19,17,19,40,16,11,21,40,7,3,16,26
22200234,True,LAL,14400,9,14,11,66,22,17,18,50,7,4,24,30
22200234,False,DET,14400,22,17,18,50,9,14,11,66,4,7,30,24
22200235,True,ATL,15900,19,12,21,72,18,17,22,78,5,6,20,25
22200235,False,TOR,15900,18,17,22,78,19,12,21,72,6,5,25,20
22200236,True,IND,14400,10,19,16,42,11,19,22,36,6,6,18,17
22200236,False,ORL,14400,11,19,22,36,10,19,16,42,6,6,17,18
22200237,True,PHI,14400,27,4,13,36,18,10,14,48,1,2,24,25
22200237,False,MIN,14400,18,10,14,48,27,4,13,36,2,1,25,24
22200238,True,POR,14400,20,16,16,48,28,18,11,50,8,4,22,20
22200238,False,UTA,14400,28,18,11,50,20,16,16,48,4,8,20,22
22200239,True,LAC,14400,20,3,10,32,14,12,12,56,1,2,20,13
22200239,False,SAS,14400,14,12,12,56,20,3,10,32,2,1,13,20
22200240,True,PHX,14400,13,19,13,42,12,11,12,46,8,7,22,15
22200240,False,NYK,14400,12,11,12,46,13,19,13,42,7,8,15,22
22200241,True,WAS,14400,13,22,8,48,15,16,6,50,13,5,19,18
22200241,False,CHA,14400,15,16,6,50,13,22,8,48,5,13,18,19
22200242,True,SAC,14400,15,19,16,62,16,16,9,54,0,3,18,24
22200242,False,DET,14400,16,16,9,54,15,19,16,62,3,0,24,18
22200243,True,BKN,14400,11,8,15,46,23,17,23,56,5,0,25,12
22200243,False,MEM,14400,23,17,23,56,11,8,15,46,0,5,12,25
22200244,True,CLE,14400,28,13,12,50,23,11,6,40,1,3,23,16
22200244,False,MIA,14400,23,11,6,40,28,13,12,50,3,1,16,23
22200245,True,HOU,14400,16,16,13,48,15,12,21,42,1,5,12,22
22200245,False,GSW,14400,15,12,21,42,16,16,13,48,5,1,22,12
22200246,True,DAL,14400,18,7,8,34,23,7,14,42,3,5,18,20
22200246,False,DEN,14400,23,7,14,42,18,7,8,34,5,3,20,18
22200247,True,LAL,14400,11,6,15,60,18,15,15,58,2,2,10,17
22200247,False,SAS,14400,18,15,15,58,11,6,15,60,2,2,17,10
22200248,True,CLE,14400,20,10,15,52,26,6,20,42,3,3,17,21
22200248,False,ATL,14400,26,6,20,42,20,10,15,52,3,3,21,17
22200249,True,IND,14400,21,24,21,58,20,9,15,42,5,2,23,25
22200249,False,ORL,14400,20,9,15,42,21,24,21,58,2,5,25,23
22200250,True,CHI,14400,18,11,22,44,17,8,17,34,1,4,19,18
22200250,False,BOS,14400,17,8,17,34,18,11,22,44,4,1,18,19
22200251,True,MIL,14400,24,12,18,56,20,9,11,46,8,3,17,17
22200251,False,POR,14400,20,9,11,46,24,12,18,56,3,8,17,17
22200252,True,MIN,14400,12,4,14,38,16,13,22,48,6,5,25,20
22200252,False,MIA,14400,16,13,22,48,12,4,14,38,5,6,20,25
22200253,True,NOP,14400,31,19,18,60,14,9,14,36,5,5,16,20
22200253,False,GSW,14400,14,9,14,36,31,19,18,60,5,5,20,16
22200254,True,OKC,14400,15,13,8,60,20,18,11,72,5,2,18,28
22200254,False,NYK,14400,20,18,11,72,15,13,8,60,2,5,28,18
22200255,True,LAC,14400,21,17,22,60,14,17,11,52,6,5,20,18
22200255,False,UTA,14400,14,17,11,52,21,17,22,60,5,6,18,20
22200256,True,PHI,14400,17,25,7,44,13,7,23,54,4,13,12,15
22200256,False,BKN,14400,13,7,23,54,17,25,7,44,13,4,15,12
22200257,True,MEM,14400,23,11,17,62,26,15,13,42,10,2,23,25
22200257,False,SAC,14400,26,15,13,42,23,11,17,62,2,10,25,23
22200258,True,DEN,14400,17,29,24,70,26,17,19,60,8,5,21,24
22200258,False,DET,14400,26,17,19,60,17,29,24,70,5,8,24,21
22200259,True,PHX,14400,16,8,16,42,11,9,11,52,7,7,22,12
22200259,False,LAL,14400,11,9,11,52,16,8,16,42,7,7,12,22
22200260,True,CHA,14400,23,11,12,72,19,11,9,54,1,3,15,23
22200260,False,PHI,14400,19,11,9,54,23,11,12,72,3,1,23,15
22200261,True,CLE,14400,24,10,7,48,20,12,21,44,4,4,14,24
22200261,False,POR,14400,20,12,21,44,24,10,7,48,4,4,24,14
22200262,True,IND,14400,32,4,14,38,14,19,22,74,5,10,16,18
22200262,False,MIN,14400,14,19,22,74,32,4,14,38,10,5,18,16
22200263,True,ATL,14400,25,10,8,36,17,13,8,54,6,2,20,23
22200263,False,SAC,14400,17,13,8,54,25,10,8,36,2,6,23,20
22200264,True,BOS,14400,21,11,14,48,10,10,6,52,4,3,22,23
22200264,False,DAL,14400,10,10,6,52,21,11,14,48,3,4,23,22
22200265,True,MIA,14400,18,15,12,40,13,6,5,50,5,5,18,20
22200265,False,WAS,14400,13,6,5,50,18,15,12,40,5,5,20,18
22200266,True,TOR,14400,16,34,18,48,17,8,29,46,2,11,13,24
22200266,False,BKN,14400,17,8,29,46,16,34,18,48,11,2,24,13
22200267,True,MIL,14400,13,16,12,50,17,7,19,34,3,12,17,20
22200267,False,CHI,14400,17,7,19,34,13,16,12,50,12,3,20,17
22200268,True,OKC,15900,18,12,16,46,9,19,3,54,7,8,27,24
22200268,False,DEN,15900,9,19,3,54,18,12,16,46,8,7,24,27
22200269,True,SAS,14400,18,6,12,46,23,9,6,62,1,5,23,22
22200269,False,NOP,14400,23,9,6,62,18,6,12,46,5,1,22,23
22200270,True,UTA,14400,10,8,14,42,27,22,15,52,7,2,21,20
22200270,False,DET,14400,27,22,15,52,10,8,14,42,2,7,20,21
22200271,True,GSW,14400,21,18,18,50,21,13,10,48,6,2,25,13
22200271,False,LAC,14400,21,13,10,48,21,18,18,50,2,6,13,25
22200272,True,CHA,14400,15,14,14,60,22,15,13,54,4,9,18,27
22200272,False,MIN,14400,22,15,13,54,15,14,14,60,9,4,27,18
22200273,True,ORL,14400,17,19,17,48,18,17,20,40,6,1,15,19
22200273,False,PHI,14400,18,17,20,40,17,19,17,48,1,6,19,15
22200274,True,NYK,15900,18,23,10,64,9,17,9,50,5,3,35,24
22200274,False,POR,15900,9,17,9,50,18,23,10,64,3,5,24,35
22200275,True,BOS,14400,27,8,13,42,10,10,17,50,6,4,24,22
22200275,False,SAC,14400,10,10,17,50,27,8,13,42,4,6,22,24
22200276,True,IND,14400,23,9,16,52,7,4,11,46,4,8,11,28
22200276,False,BKN,14400,7,4,11,46,23,9,16,52,8,4,28,11
22200277,True,MIA,14400,20,11,15,62,17,23,7,46,5,9,19,18
22200277,False,WAS,14400,17,23,7,46,20,11,15,62,9,5,18,19
22200278,True,HOU,14400,14,37,15,54,31,2,7,38,4,6,29,26
22200278,False,ATL,14400,31,2,7,38,14,37,15,54,6,4,26,29
22200279,True,MEM,14400,21,12,22,56,17,16,11,48,4,4,20,22
22200279,False,NOP,14400,17,16,11,48,21,12,22,56,4,4,22,20
22200280,True,MIL,14400,12,12,22,40,19,14,21,42,9,2,22,17
22200280,False,CLE,14400,19,14,21,42,12,12,22,40,2,9,17,22
22200281,True,OKC,15900,15,12,8,68,16,16,9,46,5,4,21,24
22200281,False,CHI,15900,16,16,9,46,15,12,8,68,4,5,24,21
22200282,True,SAS,14400,21,19,14,56,20,14,24,58,3,5,18,16
22200282,False,LAL,14400,20,14,24,58,21,19,14,56,5,3,16,18
22200283,True,PHX,14400,20,14,2,64,15,16,11,50,7,3,18,22
22200283,False,DET,14400,15,16,11,50,20,14,2,64,3,7,22,18
22200284,True,GSW,14400,10,27,35,60,22,16,11,60,3,6,15,15
22200284,False,UTA,14400,22,16,11,60,10,27,35,60,6,3,15,15
22200285,True,LAC,14400,8,4,9,42,22,21,11,52,5,5,20,24
22200285,False,DEN,14400,22,21,11,52,8,4,9,42,5,5,24,20
22200286,True,TOR,14400,22,25,8,54,17,5,6,42,2,5,21,26
22200286,False,DAL,14400,17,5,6,42,22,25,8,54,5,2,26,21
22200287,True,HOU,14400,12,15,12,52,33,15,25,52,3,3,19,15
22200287,False,OKC,14400,33,15,25,52,12,15,12,52,3,3,15,19
22200288,True,SAS,14400,24,25,39,66,10,9,20,44,5,7,32,20
22200288,False,LAL,14400,10,9,20,44,24,25,39,66,7,5,20,32
22200289,True,PHX,14400,11,17,2,62,4,17,6,44,6,2,20,19
22200289,False,UTA,14400,4,17,6,44,11,17,2,62,2,6,19,20
22200290,True,BKN,14400,9,6,13,44,11,12,6,40,2,2,24,16
22200290,False,POR,14400,11,12,6,40,9,6,13,44,2,2,16,24
22200291,True,MIN,14400,20,11,15,44,20,8,16,50,2,6,19,26
22200291,False,GSW,14400,20,8,16,50,20,11,15,44,6,2,26,19
22200292,True,LAC,14400,13,17,10,66,26,10,26,48,4,4,18,28
22200292,False,IND,14400,26,10,26,48,13,17,10,66,4,4,28,18
22200293,True,ATL,14400,14,6,4,34,17,4,16,58,3,5,12,16
22200293,False,MIA,14400,17,4,16,58,14,6,4,34,5,3,16,12
22200294,True,BOS,14400,6,14,9,52,26,11,7,58,5,1,23,21
22200294,False,WAS,14400,26,11,7,58,6,14,9,52,1,5,21,23
22200295,True,DET,14400,13,14,10,54,22,7,6,50,6,4,26,20
22200295,False,CLE,14400,22,7,6,50,13,14,10,54,4,6,20,26
22200296,True,NYK,14400,12,18,12,64,4,19,16,64,7,2,27,23
22200296,False,MEM,14400,4,19,16,64,12,18,12,64,2,7,23,27
22200297,True,ORL,14400,22,9,16,44,26,10,26,72,4,8,20,19
22200297,False,PHI,14400,26,10,26,72,22,9,16,44,8,4,19,20
22200298,True,MIL,14400,21,14,20,52,17,15,6,38,5,2,24,17
22200298,False,DAL,14400,17,15,6,38,21,14,20,52,2,5,17,24
22200299,True,PHI,14400,19,13,12,52,12,9,9,42,3,6,19,21
22200299,False,ATL,14400,12,9,9,42,19,13,12,52,6,3,21,19
22200300,True,WAS,14400,29,15,14,62,10,20,15,62,5,3,25,23
22200300,False,MIN,14400,10,20,15,62,29,15,14,62,3,5,23,25
22200301,True,BOS,14400,25,15,16,54,14,17,16,56,5,2,18,14
22200301,False,CHA,14400,14,17,16,56,25,15,16,54,2,5,14,18
22200302,True,BKN,14400,16,14,21,46,24,11,32,42,8,5,19,18
22200302,False,ORL,14400,24,11,32,42,16,14,21,46,5,8,18,19
22200303,True,TOR,14400,5,7,18,40,14,17,19,52,5,3,17,18
22200303,False,CLE,14400,14,17,19,52,5,7,18,40,3,5,18,17
22200304,True,NOP,14400,13,14,9,60,17,22,8,36,8,4,18,22
22200304,False,OKC,14400,17,22,8,36,13,14,9,60,4,8,22,18
22200305,True,DEN,14400,17,16,13,62,19,15,7,42,4,2,22,20
22200305,False,HOU,14400,19,15,7,42,17,16,13,62,2,4,20,22
22200306,True,UTA,14400,15,10,13,44,21,14,13,64,4,3,17,17
22200306,False,CHI,14400,21,14,13,64,15,10,13,44,3,4,17,17
22200307,True,SAC,14400,25,12,13,66,24,17,8,58,7,7,15,20
22200307,False,PHX,14400,24,17,8,58,25,12,13,66,7,7,20,15
22200308,True,LAL,14400,9,13,9,54,10,22,23,48,7,10,16,24
22200308,False,IND,14400,10,22,23,48,9,13,9,54,10,7,24,16
22200309,True,DET,14400,22,11,9,50,25,21,14,68,4,1,17,19
22200309,False,NYK,14400,25,21,14,68,22,11,9,50,1,4,19,17
22200310,True,DAL,14400,24,18,12,42,12,3,17,56,4,3,21,23
22200310,False,GSW,14400,12,3,17,56,24,18,12,42,3,4,23,21
22200311,True,POR,14400,19,16,17,38,14,19,14,50,7,7,23,18
22200311,False,LAC,14400,14,19,14,50,19,16,17,38,7,7,18,23
22200312,True,CLE,14400,17,8,16,56,17,5,4,42,3,1,13,11
22200312,False,PHI,14400,17,5,4,42,17,8,16,56,1,3,11,13
22200313,True,ORL,14400,15,8,12,46,22,20,9,62,3,3,21,17
22200313,False,ATL,14400,22,20,9,62,15,8,12,46,3,3,17,21
22200314,True,BOS,14400,19,15,20,44,15,14,4,50,0,3,18,21
22200314,False,MIA,14400,15,14,4,50,19,15,20,44,3,0,21,18
22200315,True,BKN,14400,12,11,9,32,12,25,15,58,7,5,25,21
22200315,False,WAS,14400,12,25,15,58,12,11,9,32,5,7,21,25
22200316,True,NYK,14400,5,28,10,64,12,20,7,56,3,6,20,15
22200316,False,MIL,14400,12,20,7,56,5,28,10,64,6,3,15,20
22200317,True,MIN,14400,20,5,19,58,15,18,17,54,11,4,25,20
22200317,False,MEM,14400,15,18,17,54,20,5,19,58,4,11,20,25
22200318,True,NOP,14400,25,18,12,62,29,10,14,54,4,7,16,21
22200318,False,TOR,14400,29,10,14,54,25,18,12,62,7,4,21,16
22200319,True,OKC,14400,20,15,8,70,8,12,11,54,4,2,20,20
22200319,False,SAS,14400,8,12,11,54,20,15,8,70,2,4,20,20
22200320,True,DEN,14400,19,12,26,50,12,7,9,46,8,6,21,20
22200320,False,HOU,14400,12,7,9,46,19,12,26,50,6,8,20,21
22200321,True,PHX,14400,15,18,9,46,21,7,17,66,5,6,28,19
22200321,False,CHI,14400,21,7,17,66,15,18,9,46,6,5,19,28
22200322,True,UTA,14400,14,17,24,52,19,15,11,42,7,5,24,23
22200322,False,LAC,14400,19,15,11,42,14,17,24,52,5,7,23,24
22200323,True,SAC,14400,13,15,31,56,20,10,8,56,5,5,25,21
22200323,False,IND,14400,20,10,8,56,13,15,31,56,5,5,21,25
22200324,True,LAL,14400,10,27,14,64,10,11,12,64,6,5,18,25
22200324,False,POR,14400,10,11,12,64,10,27,14,64,5,6,25,18
22200325,True,DET,15900,18,17,6,54,17,11,7,44,0,7,26,24
22200325,False,DAL,15900,17,11,7,44,18,17,6,54,7,0,24,26
22200326,True,CHA,14400,24,19,13,52,7,19,8,48,3,9,24,23
22200326,False,WAS,14400,7,19,8,48,24,19,13,52,9,3,23,24
22200327,True,ATL,14400,26,14,14,54,11,11,12,62,3,0,14,12
22200327,False,DEN,14400,11,11,12,62,26,14,14,54,0,3,12,14
22200328,True,BOS,15900,15,10,18,46,21,22,11,54,2,3,18,24
22200328,False,MIA,15900,21,22,11,54,15,10,18,46,3,2,24,18
22200329,True,BKN,14400,26,16,18,50,22,15,8,58,5,2,27,19
22200329,False,TOR,14400,22,15,8,58,26,16,18,50,2,5,19,27
22200330,True,CLE,14400,21,12,12,44,12,13,13,54,5,4,14,13
22200330,False,ORL,14400,12,13,13,54,21,12,12,44,4,5,13,14
22200331,True,MIL,14400,4,14,14,54,12,14,12,70,5,4,18,16
22200331,False,LAL,14400,12,14,12,70,4,14,14,54,4,5,16,18
22200332,True,MEM,14400,22,25,24,60,14,11,9,46,11,5,18,21
22200332,False,PHI,14400,14,11,9,46,22,25,24,60,5,11,21,18
22200333,True,SAS,14400,8,18,18,48,11,15,22,54,4,5,23,18
22200333,False,NOP,14400,11,15,22,54,8,18,18,48,5,4,18,23
22200334,True,PHX,14400,19,9,18,40,14,21,20,62,5,2,28,22
22200334,False,HOU,14400,14,21,20,62,19,9,18,40,2,5,22,28
22200335,True,UTA,14400,19,18,8,60,27,11,24,46,2,5,28,35
22200335,False,IND,14400,27,11,24,46,19,18,8,60,5,2,35,28
22200336,True,GSW,14400,6,8,10,34,27,9,21,54,5,1,19,28
22200336,False,CHI,14400,27,9,21,54,6,8,10,34,1,5,28,19
22200337,True,NYK,14400,12,11,15,44,19,24,13,38,1,5,17,20
22200337,False,DAL,14400,19,24,13,38,12,11,15,44,5,1,20,17
22200338,True,LAC,14400,11,12,10,44,23,6,15,62,3,6,23,22
22200338,False,SAC,14400,23,6,15,62,11,12,10,44,6,3,22,23
22200339,True,CHA,14400,31,11,12,52,11,14,8,46,4,8,19,17
22200339,False,MIL,14400,11,14,8,46,31,11,12,52,8,4,17,19
22200340,True,TOR,14400,25,17,21,70,29,5,16,46,4,2,24,20
22200340,False,ORL,14400,29,5,16,46,25,17,21,70,2,4,20,24
22200341,True,MIN,14400,29,19,26,68,33,10,21,66,10,5,23,18
22200341,False,OKC,14400,33,10,21,66,29,19,26,68,5,10,18,23
22200342,True,GSW,14400,16,5,18,34,15,12,17,72,5,4,24,14
22200342,False,HOU,14400,15,12,17,72,16,5,18,34,4,5,14,24
22200343,True,UTA,14400,14,13,10,42,16,13,4,46,4,6,22,20
22200343,False,POR,14400,16,13,4,46,14,13,10,42,6,4,20,22
22200344,True,NOP,14400,18,4,11,54,11,15,14,58,5,5,22,22
22200344,False,DEN,14400,11,15,14,58,18,4,11,54,5,5,22,22
22200345,True,SAS,14400,9,11,12,56,19,22,7,54,3,0,24,18
22200345,False,PHX,14400,19,22,7,54,9,11,12,56,0,3,18,24
22200346,True,BKN,14400,18,11,13,36,18,8,26,38,7,9,18,19
22200346,False,BOS,14400,18,8,26,38,18,11,13,36,9,7,19,18
22200347,True,DET,14400,18,8,16,40,17,16,17,56,7,5,24,21
22200347,False,MEM,14400,17,16,17,56,18,8,16,40,5,7,21,24
22200348,True,NYK,14400,18,17,10,56,15,5,19,40,3,6,16,15
22200348,False,CLE,14400,15,5,19,40,18,17,10,56,6,3,15,16
22200349,True,WAS,14400,20,11,10,62,13,11,15,72,8,5,23,14
22200349,False,LAL,14400,13,11,15,72,20,11,10,62,5,8,14,23
22200350,True,SAC,14400,23,5,24,42,14,7,14,46,2,5,17,16
22200350,False,CHI,14400,14,7,14,46,23,5,24,42,5,2,16,17
22200351,True,POR,14400,17,19,22,44,11,18,27,58,3,5,17,22
22200351,False,IND,14400,11,18,27,58,17,19,22,44,5,3,22,17
22200352,True,CHA,14400,15,15,13,54,17,25,13,40,4,5,16,17
22200352,False,LAC,14400,17,25,13,40,15,15,13,54,5,4,17,16
22200353,True,ORL,14400,17,7,8,46,14,6,20,38,2,4,19,20
22200353,False,MIL,14400,14,6,20,38,17,7,8,46,4,2,20,19
22200354,True,ATL,14400,10,17,16,56,19,17,19,58,4,4,24,19
22200354,False,OKC,14400,19,17,19,58,10,17,16,56,4,4,19,24
22200355,True,TOR,14400,10,17,20,50,15,16,13,54,5,3,20,22
22200355,False,BOS,14400,15,16,13,54,10,17,20,50,3,5,22,20
22200356,True,HOU,17400,25,19,0,52,21,19,4,40,3,6,27,34
22200356,False,PHI,17400,21,19,4,40,25,19,0,52,6,3,34,27
22200357,True,MEM,14400,17,9,20,64,15,5,16,26,5,3,14,11
22200357,False,MIA,14400,15,5,16,26,17,9,20,64,3,5,11,14
22200358,True,DAL,14400,20,11,13,42,15,13,6,48,6,5,23,16
22200358,False,PHX,14400,15,13,6,48,20,11,13,42,5,6,16,23
22200359,True,GSW,14400,14,18,14,46,17,16,14,54,6,8,19,18
22200359,False,IND,14400,17,16,14,54,14,18,14,46,8,6,18,19
22200360,True,CLE,14400,18,15,19,70,4,23,14,52,3,6,20,13
22200360,False,LAL,14400,4,23,14,52,18,15,19,70,6,3,13,20
22200361,True,MIA,14400,10,11,13,42,15,6,15,40,2,1,20,19
22200361,False,DET,14400,15,6,15,40,10,11,13,42,1,2,19,20
22200362,True,DEN,14400,16,12,14,50,23,7,19,38,4,4,28,32
22200362,False,DAL,14400,23,7,19,38,16,12,14,50,4,4,32,28
22200363,True,ORL,15900,29,19,12,54,16,15,10,40,5,9,21,19
22200363,False,LAC,15900,16,15,10,40,29,19,12,54,9,5,19,21
22200364,True,BKN,14400,11,8,11,46,21,8,15,66,8,3,20,18
22200364,False,CHA,14400,21,8,15,66,11,8,11,46,3,8,18,20
22200365,True,NYK,14400,15,20,7,36,14,12,5,46,2,6,23,17
22200365,False,ATL,14400,14,12,5,46,15,20,7,36,6,2,17,23
22200366,True,TOR,14400,22,24,28,58,13,17,23,52,5,3,22,17
22200366,False,LAL,14400,13,17,23,52,22,24,28,58,3,5,17,22
22200367,True,CHI,14400,15,6,13,52,28,7,14,60,4,6,20,16
22200367,False,WAS,14400,28,7,14,60,15,6,13,52,6,4,16,20
