gameid,home,team,SEC,PTS,contestedshots,contestedshots2P,contestedshots3P,deflections,chargesdrawn,screenAST,screenASTPTS,looseballsrecoveredOFF,looseballsrecoveredDEF,looseballsrecoveredtotal,OFFboxouts,DEFboxouts,boxoutplayerteamREB,boxoutplayerREB,boxouts
22200150,True,MIA,14400,107,24,11,13,19,2,5,13,1,2,3,1,8,9,4,9
22200150,False,POR,14400,110,40,22,18,11,1,6,14,0,1,1,0,2,2,0,2
22200151,True,CHI,14400,111,51,34,17,17,1,1,3,4,4,8,0,13,9,6,13
22200151,False,TOR,14400,97,47,26,21,17,1,6,14,3,3,6,1,3,3,2,4
22200152,True,MEM,14400,106,54,30,24,15,1,5,11,2,1,3,1,9,9,4,10
22200152,False,BOS,14400,109,54,27,27,7,2,5,12,2,3,5,0,8,8,1,8
22200153,True,MIN,14400,107,48,22,26,15,0,3,8,0,0,0,1,4,5,3,5
22200153,False,NYK,14400,120,43,20,23,16,0,5,12,3,2,5,0,2,2,0,2
22200154,True,SAS,14400,109,50,32,18,23,1,11,27,0,5,5,0,2,2,1,2
22200154,False,DEN,14400,115,44,25,19,20,0,13,28,1,4,5,0,0,0,0,0
22200155,True,DAL,14400,96,46,31,15,21,0,5,12,5,3,8,1,1,2,2,2
22200155,False,BKN,14400,94,49,26,23,17,0,5,10,5,3,8,3,12,14,7,15
22200156,True,GSW,14400,116,51,29,22,10,0,13,35,2,0,2,1,5,6,2,6
22200156,False,SAC,14400,113,40,25,15,15,0,9,23,4,1,5,1,2,3,3,3
22200157,True,UTA,14400,139,40,31,9,19,0,15,36,2,1,3,1,1,2,1,2
22200157,False,LAL,14400,116,47,26,21,14,1,7,16,3,1,4,2,4,6,4,6
22200158,True,LAC,14400,119,37,25,12,14,0,12,27,0,2,2,2,3,5,3,5
22200158,False,CLE,14400,117,45,24,21,12,0,9,23,2,0,2,0,3,3,2,4
22200159,True,CHA,14400,95,31,18,13,21,0,6,14,3,1,4,5,1,5,4,6
22200159,False,POR,14400,105,50,25,25,19,2,7,17,0,4,4,1,7,8,4,8
22200160,True,IND,14400,119,45,35,10,14,1,7,15,2,6,8,1,3,4,2,4
22200160,False,DEN,14400,122,51,32,19,14,0,6,15,5,6,11,1,3,3,2,4
22200161,True,ORL,14400,94,46,21,25,6,0,8,18,0,0,0,0,8,8,5,8
22200161,False,DAL,14400,87,36,28,8,16,1,4,10,0,1,1,0,3,3,2,3
22200162,True,ATL,14400,119,55,31,24,8,2,17,35,3,1,4,1,6,7,3,7
22200162,False,UTA,14400,125,39,28,11,14,0,10,25,0,1,1,0,2,2,0,2
22200163,True,BOS,14400,128,48,33,15,6,1,12,28,4,1,5,0,8,4,2,8
22200163,False,DET,14400,112,47,18,29,10,0,4,8,3,1,4,0,2,2,1,2
22200164,True,BKN,14400,112,47,30,17,11,0,7,18,5,2,7,1,6,6,3,7
22200164,False,NYK,14400,85,48,36,12,13,1,6,13,3,1,4,2,2,3,0,4
22200165,True,TOR,14400,116,50,29,21,16,0,12,30,3,4,7,0,5,5,1,5
22200165,False,HOU,14400,109,68,41,27,14,2,5,10,0,3,3,0,6,6,5,6
22200166,True,CHI,14400,111,45,38,7,16,1,9,18,1,2,3,1,3,4,4,4
22200166,False,NOP,14400,115,37,27,10,16,0,5,10,4,1,5,2,5,7,5,7
22200167,True,MIN,14400,117,45,31,14,10,0,8,21,2,0,2,0,3,3,1,3
22200167,False,PHX,14400,129,32,20,12,13,0,14,31,2,3,5,0,3,3,1,3
22200168,True,OKC,17400,132,75,48,27,18,1,11,24,3,2,5,1,9,8,3,10
22200168,False,MIL,17400,136,68,41,27,13,0,13,29,0,2,2,3,8,11,2,11
22200169,True,SAS,15900,122,47,36,11,23,0,11,24,3,4,7,1,3,4,2,4
22200169,False,MEM,15900,124,51,26,25,7,1,16,39,4,1,5,0,10,9,2,10
22200170,True,LAC,14400,114,53,33,20,9,0,11,24,1,1,2,3,3,6,4,6
22200170,False,LAL,14400,101,47,27,20,23,0,7,17,1,3,4,2,1,3,0,3
22200171,True,SAC,14400,127,47,32,15,16,0,6,14,1,4,5,1,2,3,3,3
22200171,False,CLE,14400,120,45,23,22,11,1,11,25,2,1,3,0,4,4,2,4
22200172,True,WAS,14400,113,43,16,27,10,0,8,18,3,0,3,0,7,6,1,7
22200172,False,DAL,14400,105,37,24,13,11,1,7,19,3,3,6,2,3,4,0,5
22200173,True,ATL,14400,104,44,26,18,13,2,10,21,3,2,5,1,8,6,2,9
22200173,False,PHI,14400,95,45,29,16,12,1,5,13,2,4,6,0,7,7,2,7
22200174,True,MIA,15900,117,61,30,31,18,2,4,9,4,3,7,1,7,8,3,8
22200174,False,CHA,15900,112,59,37,22,18,0,10,23,1,2,3,1,3,4,2,4
22200175,True,NOP,14400,95,37,28,9,10,1,6,13,2,2,4,1,3,4,3,4
22200175,False,POR,14400,106,32,26,6,5,2,2,6,3,1,4,0,1,1,0,1
22200176,True,BOS,14400,131,60,40,20,10,0,16,37,3,1,4,2,10,10,6,12
22200176,False,DEN,14400,112,39,22,17,6,1,6,14,1,1,2,1,2,3,1,3
22200177,True,ORL,14400,114,54,26,28,5,0,13,28,1,2,3,1,4,5,2,5
22200177,False,PHX,14400,97,43,21,22,19,0,10,26,2,3,5,1,3,3,2,4
22200178,True,NYK,14400,121,43,24,19,15,1,7,16,5,3,8,1,11,8,4,12
22200178,False,DET,14400,112,56,32,24,13,0,8,17,4,2,6,0,5,5,2,5
22200179,True,OKC,14400,132,59,37,22,15,1,3,6,8,2,10,1,8,6,2,9
22200179,False,TOR,14400,113,47,29,18,19,0,8,19,2,1,3,2,3,5,3,5
22200180,True,SAS,14400,111,45,33,12,12,0,12,28,1,1,2,2,13,13,6,15
22200180,False,MIL,14400,93,42,28,14,9,0,6,13,6,3,9,2,5,6,4,7
22200181,True,MEM,14400,114,40,24,16,9,0,17,39,2,3,5,1,5,6,3,6
22200181,False,MIN,14400,103,41,24,17,14,0,11,24,0,2,2,3,7,10,7,10
22200182,True,GSW,14400,106,53,35,18,20,0,10,26,3,1,4,0,16,14,8,16
22200182,False,CLE,14400,101,35,18,17,8,0,5,11,3,2,5,2,4,6,1,6
22200183,True,LAL,14400,114,54,30,24,17,0,8,17,2,0,2,1,2,3,2,3
22200183,False,SAC,14400,120,60,40,20,12,0,13,30,0,3,3,1,2,3,2,3
22200184,True,LAC,14400,95,37,23,14,20,0,10,23,3,1,4,3,7,10,6,10
22200184,False,BKN,14400,110,47,34,13,22,0,10,25,1,3,4,0,6,5,3,6
22200185,True,WAS,14400,121,53,31,22,12,0,5,12,1,6,7,0,7,6,1,7
22200185,False,UTA,14400,112,46,29,17,12,2,10,22,0,0,0,0,5,5,2,5
22200186,True,DET,14400,108,52,22,30,9,0,10,23,2,2,4,0,4,4,2,4
22200186,False,BOS,14400,117,48,32,16,10,2,7,16,3,3,6,0,6,6,3,6
22200187,True,IND,14400,118,52,30,22,10,0,5,12,2,5,7,1,8,6,2,9
22200187,False,TOR,14400,104,41,22,19,13,2,6,12,3,1,4,0,3,3,2,3
22200188,True,PHI,14400,121,44,33,11,11,1,13,29,1,2,3,0,3,3,2,3
22200188,False,ATL,14400,109,32,23,9,8,1,8,18,3,0,3,1,1,2,1,2
22200189,True,MIA,14400,132,38,21,17,11,1,9,22,1,1,2,0,5,5,2,5
22200189,False,CHA,14400,115,37,21,16,8,0,15,33,1,1,2,1,1,2,1,2
22200190,True,DAL,14400,117,47,31,16,9,0,5,11,0,6,6,1,6,6,3,7
22200190,False,POR,14400,112,39,17,22,7,0,10,22,4,3,7,0,5,3,3,5
22200191,True,NOP,14400,119,40,17,23,23,0,4,9,3,4,7,1,9,8,4,10
22200191,False,HOU,14400,106,34,25,9,19,2,10,22,3,0,3,0,2,2,0,2
22200192,True,NYK,14400,135,41,25,16,15,0,12,26,4,1,5,3,2,4,4,5
22200192,False,OKC,14400,145,43,29,14,17,1,13,29,1,0,1,0,4,4,1,4
22200193,True,CLE,14400,124,45,30,15,8,1,14,36,3,1,4,0,4,4,2,4
22200193,False,MIN,14400,129,48,35,13,9,0,13,31,2,1,3,0,3,3,0,3
22200194,True,WAS,14400,102,52,40,12,21,0,9,21,1,4,5,1,2,3,2,3
22200194,False,MEM,14400,92,45,25,20,11,1,14,28,1,2,3,1,0,1,1,1
22200195,True,PHI,14400,105,49,27,22,19,0,7,14,4,2,6,0,10,9,1,10
22200195,False,UTA,14400,98,37,32,5,11,1,7,16,6,0,6,0,1,1,1,1
22200196,True,CHI,14400,103,39,24,15,11,0,8,17,4,3,7,1,2,3,1,3
22200196,False,DEN,14400,126,40,31,9,9,0,15,32,0,1,1,1,1,2,0,2
22200197,True,SAC,14400,122,52,24,28,17,0,8,21,2,5,7,1,3,4,4,4
22200197,False,GSW,14400,115,62,38,24,15,1,7,17,3,3,6,1,3,4,2,4
22200198,True,LAL,14400,116,43,31,12,8,1,3,6,1,0,1,3,1,4,4,4
22200198,False,BKN,14400,103,58,39,19,10,0,5,10,0,1,1,1,6,7,2,7
22200199,True,DET,14400,111,55,38,17,16,1,2,4,4,3,7,0,13,8,5,13
22200199,False,TOR,14400,115,47,33,14,20,1,5,13,5,4,9,0,7,6,1,7
22200200,True,ORL,14400,105,54,28,26,20,0,12,28,5,0,5,5,6,11,7,11
22200200,False,CHA,14400,112,47,28,19,24,0,10,24,3,3,6,2,2,4,4,4
22200201,True,BOS,14400,126,52,33,19,25,0,9,19,2,2,4,1,12,13,4,13
22200201,False,OKC,14400,122,50,31,19,19,2,12,26,2,2,4,0,6,6,1,6
22200202,True,MIA,14400,113,58,32,26,11,1,10,22,2,0,2,1,6,5,1,7
22200202,False,PHX,14400,112,47,26,21,10,0,15,35,3,2,5,1,2,3,1,3
22200203,True,HOU,14400,106,44,21,23,21,0,7,17,4,3,7,2,0,2,0,2
22200203,False,LAC,14400,122,58,36,22,17,0,13,27,1,3,4,1,1,2,1,2
22200204,True,MIL,14400,106,47,38,9,2,0,7,14,1,1,2,0,4,4,2,4
22200204,False,ATL,14400,121,48,31,17,7,2,13,28,1,3,4,0,5,5,1,5
22200205,True,GSW,14400,132,61,37,24,20,0,10,27,0,3,3,1,1,2,1,2
22200205,False,SAS,14400,95,33,15,18,9,0,8,19,2,1,3,3,1,4,3,4
22200206,True,NOP,14400,113,55,33,22,13,0,15,39,2,4,6,3,17,19,9,20
22200206,False,MEM,14400,102,50,34,16,9,0,8,19,3,1,4,4,4,8,5,8
22200207,True,DAL,14400,103,50,32,18,16,0,6,14,1,0,1,0,6,4,0,6
22200207,False,LAC,14400,101,43,21,22,11,0,6,12,4,2,6,0,4,4,1,4
22200208,True,UTA,14400,111,59,41,18,12,1,4,12,3,3,6,0,3,3,1,3
22200208,False,NYK,14400,118,47,20,27,10,1,8,18,4,4,8,1,7,7,5,8
22200209,True,POR,14400,117,43,26,17,14,0,2,5,4,2,6,0,3,3,1,3
22200209,False,SAS,14400,110,42,25,17,27,0,2,6,2,2,4,1,6,7,3,7
22200210,True,SAC,14400,153,48,29,19,11,0,8,20,4,3,7,2,2,4,2,4
22200210,False,BKN,14400,121,34,19,15,12,0,10,22,1,4,5,0,8,5,1,8
22200211,True,CHA,14400,113,24,16,8,13,0,5,13,1,3,4,0,4,2,0,4
22200211,False,IND,14400,125,40,28,12,15,0,11,22,1,3,4,1,2,3,2,3
22200212,True,ORL,14400,108,53,24,29,11,0,15,35,1,2,3,2,6,8,4,8
22200212,False,MIN,14400,126,61,36,25,22,0,14,32,0,2,2,3,7,8,5,10
22200213,True,WAS,14400,120,47,35,12,12,1,7,15,5,2,7,1,3,3,2,4
22200213,False,OKC,14400,121,59,39,20,17,2,9,19,5,3,8,0,3,2,1,3
22200214,True,ATL,14400,101,49,22,27,11,1,14,30,3,2,5,1,4,4,3,5
22200214,False,BOS,14400,126,51,38,13,14,1,17,42,0,3,3,0,14,13,4,14
22200215,True,TOR,14400,112,30,12,18,11,0,11,25,2,0,2,6,0,5,2,6
22200215,False,MIA,14400,104,43,29,14,14,2,10,25,2,1,3,0,2,2,0,2
22200216,True,MIL,14400,113,58,40,18,10,0,7,17,0,3,3,0,4,4,1,4
22200216,False,CLE,14400,98,48,27,21,8,0,12,31,2,2,4,0,6,6,3,6
22200217,True,NOP,14400,124,51,28,23,14,1,14,34,0,2,2,1,2,3,2,3
22200217,False,CHI,14400,110,49,27,22,16,0,14,29,2,1,3,0,3,3,2,3
22200218,True,DAL,14400,92,35,25,10,9,1,8,20,1,3,4,0,11,9,1,11
22200218,False,HOU,14400,101,51,29,22,4,0,8,17,0,5,5,0,5,5,2,5
22200219,True,DEN,14400,103,53,27,26,10,0,6,15,1,0,1,1,2,3,1,3
22200219,False,NYK,14400,106,60,33,27,10,0,7,15,2,3,5,0,4,4,2,4
22200220,True,PHX,14400,130,43,22,21,11,1,6,13,2,1,3,1,4,4,2,5
22200220,False,GSW,14400,119,52,24,28,9,0,15,38,0,3,3,0,8,6,0,8
22200221,True,POR,14400,107,43,26,17,15,0,6,16,8,1,9,2,4,2,2,6
22200221,False,BKN,14400,109,64,41,23,14,0,7,16,4,0,4,0,7,3,1,7
22200222,True,SAC,14400,130,45,30,15,13,1,11,24,3,3,6,0,4,4,1,4
22200222,False,SAS,14400,112,43,33,10,21,1,12,27,2,2,4,2,6,8,3,8
22200223,True,LAC,14400,96,49,37,12,10,0,13,31,1,0,1,2,6,8,7,8
22200223,False,DET,14400,91,54,34,20,16,0,8,18,4,2,6,2,3,5,5,5
22200224,True,WAS,15900,107,67,33,34,11,0,7,18,5,5,10,1,11,9,4,12
22200224,False,MIA,15900,106,45,25,20,8,2,9,22,5,2,7,1,4,4,2,5
22200225,True,CLE,17400,132,69,44,25,10,0,15,33,4,6,10,1,5,5,5,6
22200225,False,CHA,17400,122,39,27,12,15,1,14,33,6,4,10,3,2,5,5,5
22200226,True,PHI,14400,110,49,30,19,11,0,12,28,4,0,4,2,10,10,4,12
22200226,False,MIL,14400,102,39,33,6,12,0,6,13,3,2,5,0,1,1,0,1
22200227,True,CHI,14400,107,50,28,22,12,1,8,16,2,3,5,0,7,6,5,7
22200227,False,ORL,14400,108,51,39,12,13,0,9,22,3,1,4,0,2,1,1,2
22200228,True,HOU,14400,91,38,17,21,9,1,2,4,2,1,3,1,7,8,4,8
22200228,False,IND,14400,99,45,32,13,16,1,3,7,3,3,6,0,4,2,2,4
22200229,True,MEM,14400,121,49,36,13,12,0,8,17,1,1,2,3,2,5,5,5
22200229,False,OKC,14400,110,50,28,22,7,0,5,12,2,5,7,0,0,0,0,0
22200230,True,DAL,14400,127,43,29,14,10,0,5,10,2,1,3,1,5,6,5,6
22200230,False,DEN,14400,99,36,16,20,14,1,4,9,1,2,3,0,1,1,1,1
22200231,True,NOP,14400,109,49,24,25,18,0,7,16,2,2,4,0,6,5,1,6
22200231,False,BOS,14400,117,49,32,17,12,0,6,15,2,0,2,0,4,4,2,4
22200232,True,UTA,14400,134,42,27,15,13,0,10,26,2,2,4,1,0,1,1,1
22200232,False,PHX,14400,133,47,31,16,15,0,11,24,0,4,4,2,2,4,4,4
22200233,True,GSW,14400,111,51,29,22,11,0,5,12,1,0,1,1,6,6,4,7
22200233,False,NYK,14400,101,43,26,17,10,0,4,9,3,1,4,2,1,3,3,3
22200234,True,LAL,14400,128,45,32,13,11,1,7,14,0,2,2,0,4,4,3,4
22200234,False,DET,14400,121,35,25,10,20,1,12,27,2,4,6,1,1,2,2,2
22200235,True,ATL,15900,124,62,39,23,16,0,5,11,3,2,5,0,6,4,3,6
22200235,False,TOR,15900,122,41,26,15,25,1,7,16,4,3,7,1,5,6,4,6
22200236,True,IND,14400,114,66,41,25,9,0,7,17,1,3,4,2,6,8,2,8
22200236,False,ORL,14400,113,62,30,32,14,1,12,30,1,3,4,0,6,3,2,6
22200237,True,PHI,14400,109,41,17,24,10,1,10,24,3,0,3,0,5,5,1,5
22200237,False,MIN,14400,112,36,14,22,14,1,12,28,2,1,3,0,4,4,2,4
22200238,True,POR,14400,113,58,35,23,18,0,9,23,2,1,3,0,3,3,1,3
22200238,False,UTA,14400,118,41,23,18,16,0,9,20,1,3,4,0,5,5,2,5
22200239,True,LAC,14400,119,46,31,15,10,0,6,14,3,4,7,0,4,2,0,4
22200239,False,SAS,14400,97,49,23,26,15,1,8,17,3,1,4,1,4,4,3,5
22200240,True,PHX,14400,116,43,29,14,14,0,7,15,2,2,4,5,8,13,8,13
22200240,False,NYK,14400,95,59,35,24,9,0,9,18,2,2,4,1,7,8,5,8
22200241,True,WAS,14400,106,63,41,22,9,0,10,22,1,0,1,1,3,4,2,4
22200241,False,CHA,14400,102,45,23,22,9,2,11,22,0,2,2,0,0,0,0,0
22200242,True,SAC,14400,137,51,31,20,17,0,9,21,1,0,1,1,4,5,3,5
22200242,False,DET,14400,129,52,26,26,17,0,12,27,1,1,2,3,1,4,3,4
22200243,True,BKN,14400,127,58,28,30,12,0,6,13,0,3,3,2,8,10,6,10
22200243,False,MEM,14400,115,54,29,25,21,0,2,4,0,2,2,1,1,2,1,2
22200244,True,CLE,14400,113,37,22,15,13,0,5,10,3,1,4,2,3,5,3,5
22200244,False,MIA,14400,87,23,14,9,14,0,6,15,4,1,5,0,4,4,1,4
22200245,True,HOU,14400,120,37,14,23,17,0,6,15,4,2,6,3,4,7,6,7
22200245,False,GSW,14400,127,59,31,28,17,0,12,35,3,2,5,1,9,9,2,10
22200246,True,DAL,14400,97,41,25,16,12,0,8,18,1,1,2,1,0,1,1,1
22200246,False,DEN,14400,98,30,15,15,12,0,7,14,2,4,6,0,3,3,3,3
22200247,True,LAL,14400,123,70,48,22,17,1,5,12,4,1,5,1,6,6,6,7
22200247,False,SAS,14400,92,57,34,23,21,2,10,21,1,0,1,1,3,4,2,4
22200248,True,CLE,14400,114,57,37,20,20,0,10,22,3,2,5,0,6,6,1,6
22200248,False,ATL,14400,102,41,32,9,17,0,7,15,3,4,7,0,6,4,2,6
22200249,True,IND,14400,123,53,32,21,12,1,6,13,5,5,10,1,7,8,4,8
22200249,False,ORL,14400,102,44,17,27,19,2,9,20,0,3,3,1,10,11,5,11
22200250,True,CHI,14400,121,52,17,35,20,0,14,36,0,3,3,3,7,10,4,10
22200250,False,BOS,14400,107,56,39,17,13,1,11,28,1,1,2,1,12,13,3,13
22200251,True,MIL,14400,119,54,46,8,18,0,8,18,3,5,8,0,8,5,3,8
22200251,False,POR,14400,111,39,26,13,10,0,18,40,2,1,3,0,5,4,1,5
22200252,True,MIN,14400,105,57,32,25,15,0,6,14,2,4,6,0,0,0,0,0
22200252,False,MIA,14400,101,43,20,23,19,2,9,23,2,2,4,1,5,6,3,6
22200253,True,NOP,14400,128,37,17,20,17,0,6,14,0,6,6,3,4,7,6,7
22200253,False,GSW,14400,83,48,26,22,15,0,6,16,0,3,3,1,7,8,7,8
22200254,True,OKC,14400,119,54,32,22,16,2,7,15,2,2,4,2,9,8,2,11
22200254,False,NYK,14400,129,44,34,10,11,1,9,21,2,5,7,1,8,6,2,9
22200255,True,LAC,14400,121,58,29,29,9,1,15,32,2,3,5,2,8,10,4,10
22200255,False,UTA,14400,114,64,49,15,23,0,9,22,3,1,4,2,2,4,1,4
22200256,True,PHI,14400,115,41,28,13,16,0,13,32,5,1,6,1,9,8,5,10
22200256,False,BKN,14400,106,56,41,15,12,0,7,16,0,3,3,0,3,3,1,3
22200257,True,MEM,14400,109,48,31,17,24,0,6,12,3,0,3,1,3,3,2,4
22200257,False,SAC,14400,113,49,34,15,10,1,10,24,4,4,8,1,11,10,6,12
22200258,True,DEN,14400,108,43,31,12,20,2,8,17,6,3,9,3,1,4,4,4
22200258,False,DET,14400,110,50,34,16,15,0,9,20,4,3,7,0,3,3,2,3
22200259,True,PHX,14400,115,38,30,8,19,0,17,35,3,1,4,1,6,7,2,7
22200259,False,LAL,14400,105,60,40,20,16,0,4,8,4,3,7,0,10,10,7,10
22200260,True,CHA,14400,107,52,30,22,22,0,6,12,4,3,7,1,5,6,4,6
22200260,False,PHI,14400,101,54,39,15,16,0,16,36,4,5,9,0,5,5,2,5
22200261,True,CLE,14400,114,52,30,22,13,2,10,23,0,2,2,1,10,8,3,11
22200261,False,POR,14400,96,41,27,14,17,1,6,16,4,4,8,5,2,6,6,7
22200262,True,IND,14400,101,40,26,14,27,0,12,27,6,5,11,3,4,7,3,7
22200262,False,MIN,14400,115,56,33,23,18,0,8,18,0,5,5,0,12,9,5,12
22200263,True,ATL,14400,115,48,31,17,13,0,14,31,3,1,4,1,2,3,2,3
22200263,False,SAC,14400,106,50,28,22,14,1,9,22,3,3,6,1,4,4,2,5
22200264,True,BOS,14400,125,42,22,20,7,1,13,33,0,1,1,0,5,5,1,5
22200264,False,DAL,14400,112,40,28,12,8,0,6,13,2,2,4,0,1,1,1,1
22200265,True,MIA,14400,113,48,25,23,9,1,8,19,3,1,4,0,10,9,5,10
22200265,False,WAS,14400,105,57,31,26,10,0,7,16,4,2,6,1,1,2,1,2
22200266,True,TOR,14400,98,46,18,28,24,1,8,20,2,2,4,1,3,3,1,4
22200266,False,BKN,14400,112,65,43,22,22,1,3,6,0,2,2,0,4,4,2,4
22200267,True,MIL,14400,113,40,26,14,12,0,8,18,3,1,4,3,3,5,2,6
22200267,False,CHI,14400,118,48,30,18,11,2,14,32,0,6,6,1,9,9,4,10
22200268,True,OKC,15900,126,44,27,17,19,2,9,19,1,4,5,1,7,5,1,8
22200268,False,DEN,15900,131,54,35,19,14,0,4,10,6,1,7,2,0,2,2,2
22200269,True,SAS,14400,110,43,32,11,15,0,12,27,5,4,9,0,4,3,3,4
22200269,False,NOP,14400,129,57,32,25,15,2,8,16,6,6,12,2,10,11,7,12
22200270,True,UTA,14400,116,46,40,6,14,0,11,30,1,2,3,1,3,4,1,4
22200270,False,DET,14400,125,43,24,19,10,0,11,25,3,4,7,1,4,5,4,5
22200271,True,GSW,14400,124,54,41,13,14,1,5,12,0,2,2,0,7,7,4,7
22200271,False,LAC,14400,107,38,21,17,10,0,5,10,0,4,4,3,4,7,6,7
22200272,True,CHA,14400,110,63,38,25,17,0,15,33,6,3,9,0,3,3,1,3
22200272,False,MIN,14400,108,55,41,14,21,0,9,20,3,2,5,0,4,3,2,4
22200273,True,ORL,14400,99,46,23,23,16,0,7,15,6,3,9,5,4,8,7,9
22200273,False,PHI,14400,107,44,19,25,21,2,13,30,5,3,8,2,12,13,8,14
22200274,True,NYK,15900,129,48,31,17,16,1,6,15,4,1,5,3,12,15,6,15
22200274,False,POR,15900,132,52,31,21,13,1,11,25,4,0,4,1,5,6,2,6
22200275,True,BOS,14400,122,59,41,18,17,0,9,25,4,5,9,1,16,15,3,17
22200275,False,SAC,14400,104,48,25,23,9,1,13,33,5,0,5,2,4,6,1,6
22200276,True,IND,14400,128,44,26,18,14,0,13,30,4,3,7,1,1,2,2,2
22200276,False,BKN,14400,117,49,32,17,10,0,5,13,0,1,1,0,9,9,4,9
22200277,True,MIA,14400,110,46,19,27,10,1,5,11,0,3,3,1,5,6,0,6
22200277,False,WAS,14400,107,45,29,16,11,1,6,12,4,2,6,1,1,2,1,2
22200278,True,HOU,14400,128,48,19,29,17,0,13,31,3,3,6,3,5,7,3,8
22200278,False,ATL,14400,122,51,21,30,20,0,15,37,2,3,5,1,3,2,2,4
22200279,True,MEM,14400,132,45,33,12,7,0,9,22,5,2,7,2,7,5,3,9
22200279,False,NOP,14400,111,49,25,24,17,0,2,5,4,3,7,0,10,5,2,10
22200280,True,MIL,14400,117,48,31,17,11,0,12,26,2,3,5,0,4,3,1,4
22200280,False,CLE,14400,102,38,27,11,12,0,9,23,5,3,8,2,7,4,2,9
22200281,True,OKC,15900,123,59,44,15,12,0,5,12,2,4,6,1,2,3,2,3
22200281,False,CHI,15900,119,54,39,15,13,0,9,21,3,3,6,4,2,5,5,6
22200282,True,SAS,14400,94,49,29,20,26,2,8,17,2,3,5,2,2,4,3,4
22200282,False,LAL,14400,105,55,35,20,15,0,4,10,5,5,10,0,3,3,3,3
22200283,True,PHX,14400,108,54,39,15,8,0,9,20,2,1,3,0,11,11,3,11
22200283,False,DET,14400,102,42,28,14,11,0,11,23,1,1,2,2,6,8,2,8
22200284,True,GSW,14400,129,43,29,14,13,1,16,40,2,4,6,1,1,2,1,2
22200284,False,UTA,14400,118,31,23,8,20,0,7,15,3,2,5,1,0,1,1,1
22200285,True,LAC,14400,104,54,37,17,10,0,6,14,0,0,0,1,8,8,2,9
22200285,False,DEN,14400,114,52,36,16,19,0,7,15,3,1,4,3,10,13,5,13
22200286,True,TOR,14400,105,37,18,19,21,2,9,22,2,3,5,2,7,9,5,9
22200286,False,DAL,14400,100,57,37,20,13,0,3,7,3,2,5,1,12,13,4,13
22200287,True,HOU,14400,118,43,18,25,17,1,11,27,4,2,6,1,3,4,3,4
22200287,False,OKC,14400,105,47,23,24,12,0,10,26,1,1,2,0,3,3,0,3
22200288,True,SAS,14400,138,38,25,13,13,2,3,6,2,2,4,0,4,4,0,4
22200288,False,LAL,14400,143,55,38,17,6,1,15,35,0,3,3,0,6,5,1,6
22200289,True,PHX,14400,113,36,25,11,11,0,10,21,3,1,4,0,10,10,4,10
22200289,False,UTA,14400,112,44,39,5,11,0,9,22,0,2,2,0,8,8,3,8
22200290,True,BKN,14400,111,28,16,12,15,0,11,26,4,3,7,1,6,7,2,7
22200290,False,POR,14400,97,23,13,10,9,0,7,17,3,1,4,1,1,2,1,2
22200291,True,MIN,14400,114,28,13,15,13,0,14,35,0,1,1,1,1,2,1,2
22200291,False,GSW,14400,137,50,25,25,11,0,18,45,3,3,6,0,4,4,2,4
22200292,True,LAC,14400,114,23,21,2,10,0,8,16,1,4,5,1,2,2,1,3
22200292,False,IND,14400,100,31,20,11,13,0,3,6,4,2,6,2,6,7,3,8
22200293,True,ATL,14400,98,33,21,12,10,0,1,2,1,0,1,2,0,2,2,2
22200293,False,MIA,14400,106,44,28,16,15,0,6,12,0,0,0,0,3,3,1,3
22200294,True,BOS,14400,130,50,35,15,5,0,10,25,3,0,3,1,4,5,1,5
22200294,False,WAS,14400,121,42,22,20,16,0,11,23,0,4,4,0,5,4,1,5
22200295,True,DET,14400,94,44,25,19,15,0,10,20,3,2,5,0,1,1,1,1
22200295,False,CLE,14400,102,50,30,20,6,0,8,17,1,1,2,0,4,3,3,4
22200296,True,NYK,14400,123,52,35,17,13,0,6,13,2,2,4,2,7,8,5,9
22200296,False,MEM,14400,127,47,35,12,6,1,13,32,2,0,2,3,8,11,4,11
22200297,True,ORL,14400,103,40,22,18,13,2,8,16,2,4,6,2,3,4,2,5
22200297,False,PHI,14400,133,42,22,20,15,1,8,21,4,3,7,0,8,7,6,8
22200298,True,MIL,14400,124,43,22,21,15,0,8,18,1,2,3,0,4,4,2,4
22200298,False,DAL,14400,115,49,29,20,8,1,9,20,2,1,3,0,8,7,5,8
22200299,True,PHI,14400,104,40,25,15,19,0,6,15,7,5,12,0,2,1,1,2
22200299,False,ATL,14400,101,46,28,18,12,1,10,21,3,4,7,0,0,0,0,0
22200300,True,WAS,14400,142,36,23,13,22,0,13,29,4,5,9,1,7,7,2,8
22200300,False,MIN,14400,127,42,26,16,15,0,14,32,2,1,3,4,6,10,2,10
22200301,True,BOS,14400,140,56,36,20,13,1,15,38,5,8,13,2,9,11,4,11
22200301,False,CHA,14400,105,48,18,30,17,0,8,17,2,6,8,2,8,8,5,10
22200302,True,BKN,14400,109,42,24,18,10,0,8,19,2,0,2,0,4,4,2,4
22200302,False,ORL,14400,102,51,30,21,12,0,6,15,2,2,4,1,4,5,1,5
22200303,True,TOR,14400,100,55,36,19,15,0,6,15,5,4,9,0,2,2,1,2
22200303,False,CLE,14400,88,59,39,20,12,0,6,15,4,1,5,0,13,12,2,13
